,title,height,length,art_type,medium_text,date_text,age,house,fecha,price,author,performance,source,country
1191,"El Ermitaño by Rufino Tamayo, 1989",260.5,360.5,Prints + Multiples, lithograph in colors on Arches ,1989,33,Los Angeles Modern Auctions,2022-09-08,, Rufino Tamayo,-420,Mutual Art,-
1192,"Untitled by Raúl Anguiano, 1968",63.5,20.0,FRENCH FURNITURE AUCTION. INCLUDES DECORATIVE ARTS, Engraving ,1968,54,"Morton Auctions, Cerro de Mayka",2022-09-03,149.0, Raúl Anguiano,-420,Mutual Art,-
1205,"Ojo es ojo para el III Festival de Cine en Bogotá by Enrique Grau, 1986",199.39000000000001,56.0,Engravings and multiple, Offset printing ,1986,36,BogotAuctions,2022-08-25,68.0, Enrique Grau,-420,Mutual Art,-
1207,"De la carpeta Una temporada en el infierno by Roberto Matta, 1978",119.38,36.0,Engravings and multiple," Etching, aquatint on paper ",1978,44,BogotAuctions,2022-08-25,728.0, Roberto Matta,-420,Mutual Art,-
1208,"El espejo by Enrique Grau, 1990",189.23,54.0,Engravings and multiple, Lithograph on paper ,1990,32,BogotAuctions,2022-08-25,455.0, Enrique Grau,-420,Mutual Art,-
1213,"Boca del Río by Raúl Anguiano, 1957",243.84,130.5,MODERN AND CONTEMPORARY ART, Oil on canvas ,1957,65,"Morton Auctions, Monte Athos",2022-08-25,12032.0, Raúl Anguiano,-420,Mutual Art,-
1214,"Girl in Blue Holding a Bird by Gustavo Montoya, 1985",27.125,21.25,Prints & Multiples, Serigraph in colors on wove paper ,1985,37,"Heritage Auctions, Dallas",2022-08-24,, Gustavo Montoya,-420,Mutual Art,-
1217,"Personaje, Luna Y Estrella by Rufino Tamayo, 1975",22.0,30.0,Made In Mexico, Etching and aquatint in colors on Guarro paper under glass ,1975,47,"John Moran Auctioneers, Inc.",2022-08-23,, Rufino Tamayo,-420,Mutual Art,-
1218,"""Demetrio Vallejo, Nino,"" by Francisco Toledo, 1984",10.5,14.5,Made In Mexico, Woodcut in colors with gold leaf on paper under glass ,1984,38,"John Moran Auctioneers, Inc.",2022-08-23,, Francisco Toledo,-420,Mutual Art,-
1219,"Seated Woman In White Dress by Jesus Leuus, 1963",17.75,12.5,Made In Mexico, Oil on Masonite ,1963,59,"John Moran Auctioneers, Inc.",2022-08-23,, Jesus Leuus,-420,Mutual Art,-
1220,"Marquis De Sade, Niño by José Luis Cuevas, 1964",54.75,55.0,Made In Mexico, Oil on canvas ,1964,58,"John Moran Auctioneers, Inc.",2022-08-23,, José Luis Cuevas,-420,Mutual Art,-
