title,height,length,art_type,medium_text,date_text,age,house,sale_date,price,author,performance,source,country
CAMINADORA VIAJERA,50,52.6,Sculpture,bronze with gold-brown patina,,,Sotheby's,1969-12-31 18:00:40.857,45000.0,abigail varela,0.5,artsy,venezuela
i) Untitled; ii) Untitled; iii) Untitled,33.0,24.8,Work on Paper,gouache and graphite on paper; watercolor and ink on paper; charcoal on paper,1960.0,33.0,Christie's,1969-12-31 18:00:44.397,4000.0,agustin cardenas,0.33,artsy,cuba
Untitled,56.0,44.0,Print,Print,,,Artcuria,1969-12-31 18:00:43.271,226.0,agustin cardenas,-0.22,artsy,cuba
Study for a sculpture,74.5,54.5,Work on Paper,Pastel,1970.0,43.0,Artcuria,1969-12-31 18:00:43.271,1810.0,agustin cardenas,1.4,artsy,cuba
UNTITLED,29,56,Sculpture,pink Carrara marble,,,Sotheby's,1969-12-31 18:00:43.059,43750.0,agustin cardenas,0.59,artsy,cuba
Sans titre,49.0,63.0,Work on Paper,ink on paper,1975.0,48.0,Pias,1969-12-31 18:00:42.821,3655.0,agustin cardenas,0.35,artsy,cuba
"LA MAINnSIGNED WITH THE ARTIST'S INITIALS, NUMBERED 3/6 AND STAMPED WITH THE FOUNDRY MARK TESCONI BRONZE. EXECUTED CIRCA 1965, THIS WORK IS NUMBER 3 FROM AN EDITION OF 6.",3 5/16,31 7/8 ,,,,,Sotheby's,1969-12-31 18:00:42.710,26893.28,agustin cardenas,1.0,artsy,cuba
Petite stèle,24.0,18.0,Sculpture,sculpted wood,1975.0,48.0,Ferri et Associe,1969-12-31 18:00:42.705,5120.0,agustin cardenas,0.37,artsy,cuba
UNTITLED,13,13,,,,,Sotheby's,1969-12-31 18:00:42.696,18750.0,agustin cardenas,0.07,artsy,cuba
RADAR DE POÈTE,16.5,16.5,,,,,Sotheby's,1969-12-31 18:00:42.549,13452.37,agustin cardenas,1.0,artsy,cuba
UNTITLED,10,10.5,,,,,Sotheby's,1969-12-31 18:00:42.549,15133.92,agustin cardenas,1.25,artsy,cuba
Radar de Po�te,38.0,16.5,,sculpture,1976.0,49.0,Sotheby's,1969-12-31 18:00:42.548,13356.0,agustin cardenas,1.0,artsy,cuba
Sans titre,58.0,34.0,Work on Paper,"charcoal, gouache and watercolor on paper",1969.0,42.0,Cornette de Saint Cy,1969-12-31 18:00:42.530,1883.0,agustin cardenas,0.67,artsy,cuba
Sans titre,45.0,65.0,Work on Paper,gouache on paper,1979.0,52.0,Cornette de Saint Cy,1969-12-31 18:00:42.530,1594.0,agustin cardenas,0.42,artsy,cuba
Sans titre,116.0,24.0,Sculpture,white marble,1972.0,45.0,Christie's,1969-12-31 18:00:42.529,45155.0,agustin cardenas,0.33,artsy,cuba
Composition,49.0,65.0,Work on Paper,india ink on paper,1975.0,48.0,Cornette de Saint Cy,1969-12-31 18:00:42.465,1139.0,agustin cardenas,-0.6,artsy,cuba
Composition,35.0,26.01,Painting,mixed media on board,1974.0,47.0,Cornette de Saint Cy,1969-12-31 18:00:42.465,2507.0,agustin cardenas,1.2,artsy,cuba
Composition,61.01,49.0,Work on Paper,mixed media on paper,1980.0,53.0,Ade,1969-12-31 18:00:42.341,2176.0,agustin cardenas,-0.2,artsy,cuba
Woman with an amphora,23.5,16.0,Work on Paper,pen on paper,,,Fine Art Auctions Miam,1969-12-31 18:00:42.337,220.0,agustin cardenas,-0.71,artsy,cuba
"1),3),4) Untitled; 2) Woman",19.99,14.0,Work on Paper,pencil on paper,,,Fine Art Auctions Miam,1969-12-31 18:00:42.337,800.0,agustin cardenas,-0.54,artsy,cuba
Woman,26.49,19.99,Work on Paper,pencil on paper,,,Fine Art Auctions Miam,1969-12-31 18:00:42.337,360.0,agustin cardenas,-0.6,artsy,cuba
1) Study of sculpture; 2) Untitled,14.5,21.01,Work on Paper,1) pencil on paper; 2) wood,,,Fine Art Auctions Miam,1969-12-31 18:00:42.337,9500.0,agustin cardenas,-0.58,artsy,cuba
1).4) Untitled; 2) Study of sculpture; 3) Study of sculptures,27.94,21.59,Work on Paper,1) pencil on paper; 2) felt pen on paper; 3) charcoal on paper; 4) wood,,,Fine Art Auctions Miam,1969-12-31 18:00:42.337,32000.0,agustin cardenas,0.28,artsy,cuba
Self portrait,61.01,46.3,Work on Paper,charcoal on paper,,,Fine Art Auctions Miam,1969-12-31 18:00:42.337,3900.0,agustin cardenas,-0.22,artsy,cuba
"Man walking, 49",30.99,23.5,Work on Paper,pencil on paper,,,Fine Art Auctions Miam,1969-12-31 18:00:42.337,350.0,agustin cardenas,-0.61,artsy,cuba
Untitled,20.32,26.67,Work on Paper,pencil on paper,,,Fine Art Auctions Miam,1969-12-31 18:00:42.337,150.0,agustin cardenas,-0.62,artsy,cuba
1) Study of sculpture; 2) Mother and Child,27.99,21.49,Work on Paper,1)pencil on paper; 2) wood,,,Fine Art Auctions Miam,1969-12-31 18:00:42.337,14000.0,agustin cardenas,-0.38,artsy,cuba
1) Study of sculpture; 2) Untitled,21.49,27.99,Work on Paper,1) pencil on paper; 2) wood,1952.0,25.0,Fine Art Auctions Miam,1969-12-31 18:00:42.337,24000.0,agustin cardenas,-0.04,artsy,cuba
1) Study of sculpture; 2) Untitled,26.59,21.01,Work on Paper,1) pencil on paper; 2) wood,1952.0,25.0,Fine Art Auctions Miam,1969-12-31 18:00:42.337,18000.0,agustin cardenas,-0.28,artsy,cuba
Le repos,27.99,21.01,Work on Paper,pencil and charcoal on paper,,,Fine Art Auctions Miam,1969-12-31 18:00:42.337,700.0,agustin cardenas,0.0,artsy,cuba
Woman walking,21.01,14.5,Work on Paper,pencil on paper,,,Fine Art Auctions Miam,1969-12-31 18:00:42.337,220.0,agustin cardenas,-0.45,artsy,cuba
1) Cardenas’ mother; 2) Portrait of Cardenas’ mother; 3) Cardenas’ brother; 4) Cardenas’ mother,26.49,23.01,Work on Paper,"1) pen on paper; 2),3),4) pencil on paper",,,Fine Art Auctions Miam,1969-12-31 18:00:42.337,1000.0,agustin cardenas,-0.43,artsy,cuba
Woman,26.49,19.99,Work on Paper,pencil on paper,,,Fine Art Auctions Miam,1969-12-31 18:00:42.337,360.0,agustin cardenas,-0.6,artsy,cuba
1) Study of sculpture; 2) Untitled,27.99,21.26,Work on Paper,1) pencil and charcoal on paper; 2) wood,1952.0,25.0,Fine Art Auctions Miam,1969-12-31 18:00:42.337,17000.0,agustin cardenas,-0.38,artsy,cuba
1) Study of sculpture; 2) Women; 3) Untitled,21.49,27.31,Work on Paper,"1),2) pencil on paper; 3) wood",1954.0,27.0,Fine Art Auctions Miam,1969-12-31 18:00:42.337,18000.0,agustin cardenas,-0.35,artsy,cuba
Farming scene,23.01,32.0,Work on Paper,pencil and charcoal on paper,,,Fine Art Auctions Miam,1969-12-31 18:00:42.337,750.0,agustin cardenas,-0.4,artsy,cuba
1) Study of sculpture; 2) Mother and Child,27.99,21.49,Work on Paper,1)pencil on paper; 2) wood,,,Fine Art Auctions Miam,1969-12-31 18:00:42.337,14000.0,agustin cardenas,-0.38,artsy,cuba
1) Study of sculpture; 2) Untitled,27.99,21.49,Work on Paper,pencil on paper (1); wood (2),1952.0,25.0,Fine Art Auctions Miam,1969-12-31 18:00:42.337,18000.0,agustin cardenas,-0.28,artsy,cuba
"1) Study of sculpture, 52; 2) Study of sculptures; 3) Untitled",27.0,21.01,Work on Paper,1) pencil on paper; 2) pencil and charcoal on paper; 3) wood,1952.0,25.0,Fine Art Auctions Miam,1969-12-31 18:00:42.337,14000.0,agustin cardenas,-0.44,artsy,cuba
Study of man face,16.51,14.5,Work on Paper,marker on paper,,,Fine Art Auctions Miam,1969-12-31 18:00:42.337,1900.0,agustin cardenas,-0.24,artsy,cuba
1) Study of sculptures; 2) Untitled,21.01,27.99,Work on Paper,1) charcoal on paper; 2) wood,1952.0,25.0,Fine Art Auctions Miam,1969-12-31 18:00:42.337,21000.0,agustin cardenas,-0.4,artsy,cuba
1) Study of sculpture; 2) Mother and Child,27.99,21.49,Work on Paper,1)pencil on paper; 2) wood,,,Fine Art Auctions Miam,1969-12-31 18:00:42.337,14000.0,agustin cardenas,-0.38,artsy,cuba
Self portrait,61.01,46.3,Work on Paper,charcoal on paper,,,Fine Art Auctions Miam,1969-12-31 18:00:42.337,3900.0,agustin cardenas,-0.22,artsy,cuba
Woman with an amphora,23.5,16.0,Work on Paper,pen on paper,,,Fine Art Auctions Miam,1969-12-31 18:00:42.337,220.0,agustin cardenas,-0.71,artsy,cuba
1) Study of sculpture; 2) Untitled,27.99,21.49,Work on Paper,pencil on paper (1); wood (2),1952.0,25.0,Fine Art Auctions Miam,1969-12-31 18:00:42.337,18000.0,agustin cardenas,-0.28,artsy,cuba
1) Study of sculpture; 2) Women; 3) Untitled,21.49,27.31,Work on Paper,"1),2) pencil on paper; 3) wood",1954.0,27.0,Fine Art Auctions Miam,1969-12-31 18:00:42.337,18000.0,agustin cardenas,-0.35,artsy,cuba
Farming scene,23.01,32.0,Work on Paper,pencil and charcoal on paper,,,Fine Art Auctions Miam,1969-12-31 18:00:42.337,750.0,agustin cardenas,-0.4,artsy,cuba
Le repos,27.99,21.01,Work on Paper,pencil and charcoal on paper,,,Fine Art Auctions Miam,1969-12-31 18:00:42.337,700.0,agustin cardenas,0.0,artsy,cuba
Study of man face,16.51,14.5,Work on Paper,marker on paper,,,Fine Art Auctions Miam,1969-12-31 18:00:42.337,1900.0,agustin cardenas,-0.24,artsy,cuba
1) Study of sculptures; 2) Untitled,21.01,14.5,Work on Paper,1) pencil on paper; 2) wood,,,Fine Art Auctions Miam,1969-12-31 18:00:42.337,15000.0,agustin cardenas,-0.4,artsy,cuba
1) Study of sculpture; 2) Untitled,27.99,21.49,Work on Paper,1) pencil on paper; 2) wood,1952.0,25.0,Fine Art Auctions Miam,1969-12-31 18:00:42.337,21000.0,agustin cardenas,-0.24,artsy,cuba
Woman with an amphora,23.5,16.0,Work on Paper,pen on paper,,,Fine Art Auctions Miam,1969-12-31 18:00:42.337,220.0,agustin cardenas,-0.71,artsy,cuba
1) Study of sculpture; 2) Women; 3) Untitled,21.49,27.31,Work on Paper,"1),2) pencil on paper; 3) wood",1954.0,27.0,Fine Art Auctions Miam,1969-12-31 18:00:42.337,18000.0,agustin cardenas,-0.35,artsy,cuba
1) Study of sculpture; 2) Untitled,27.99,21.49,Work on Paper,pencil on paper (1); wood (2),1952.0,25.0,Fine Art Auctions Miam,1969-12-31 18:00:42.337,18000.0,agustin cardenas,-0.28,artsy,cuba
Farming scene,23.01,32.0,Work on Paper,pencil and charcoal on paper,,,Fine Art Auctions Miam,1969-12-31 18:00:42.337,750.0,agustin cardenas,-0.4,artsy,cuba
Study of a sportsman,24.0,30.99,Work on Paper,pencil on paper,,,Fine Art Auctions Miam,1969-12-31 18:00:42.337,500.0,agustin cardenas,-0.44,artsy,cuba
Composition,65.0,50.01,Work on Paper,ink and wash on paper,1980.0,53.0,Millon & Associe,1969-12-31 18:00:42.176,1360.0,agustin cardenas,-0.11,artsy,cuba
Sans titre,73.99,56.01,Work on Paper,watercolor and ink on paper,1978.0,51.0,Christie's,1969-12-31 18:00:42.121,960.0,agustin cardenas,-0.3,artsy,cuba
Sans titre,75.01,56.01,Work on Paper,charcoal on paper,1970.0,43.0,Christie's,1969-12-31 18:00:42.121,1097.0,agustin cardenas,-0.2,artsy,cuba
Sans Titre,27.0,20.5,Work on Paper,ink on paper,,,Versailles Encheres - Perri,1969-12-31 18:00:42.119,554.0,agustin cardenas,0.46,artsy,cuba
Sans titre,65.0,100.0,Sculpture,marble,,,Christophe Joron-Dere,1969-12-31 18:00:41.983,42180.0,agustin cardenas,0.36,artsy,cuba
Sans titre,62.99,48.01,Work on Paper,gouache on paper,1980.0,53.0,Louiza Auktion & Associe,1969-12-31 18:00:41.803,812.0,agustin cardenas,-0.14,artsy,cuba
TORSO NO 2,22.8,33,,,,,Sotheby's,1969-12-31 18:00:41.787,21250.0,agustin cardenas,0.7,artsy,cuba
[Untitled],16.99,10.49,Work on Paper,brown ink,1966.0,39.0,Binoche et Giquell,1969-12-31 18:00:41.772,274.0,agustin cardenas,-0.43,artsy,cuba
Black forms,74.5,56.01,Work on Paper,ink and watercolor on paper,1977.0,50.0,Fine Art Auctions Miam,1969-12-31 18:00:41.751,3375.0,agustin cardenas,-0.04,artsy,cuba
Composition,64.49,47.5,Work on Paper,"gouache, felt tip pen, ink wash and lead pencil on paper",1973.0,46.0,Artcuria,1969-12-31 18:00:41.729,1434.0,agustin cardenas,0.04,artsy,cuba
Composition,62.0,46.51,Work on Paper,charcoal and felt tip pen on paper,1975.0,48.0,Artcuria,1969-12-31 18:00:41.729,1255.0,agustin cardenas,0.14,artsy,cuba
Composition,100.0,50.01,Sculpture,marble,1978.0,51.0,Fine Art Auctions Miam,1969-12-31 18:00:41.611,74500.0,agustin cardenas,0.49,artsy,cuba
Composition,24.51,19.0,Work on Paper,ink on cork,1960.0,33.0,Pias,1969-12-31 18:00:41.603,1730.0,agustin cardenas,1.83,artsy,cuba
Composition,30.0,22.0,Work on Paper,ink,1976.0,49.0,Vincent Waple,1969-12-31 18:00:41.376,393.0,agustin cardenas,-0.4,artsy,cuba
Composition,30.0,23.01,Work on Paper,ink on cork panel,1957.0,30.0,Versailles Encheres - Perri,1969-12-31 18:00:41.013,1136.0,agustin cardenas,0.33,artsy,cuba
Composition,48.01,65.0,Work on Paper,ink on paper,1979.0,52.0,Versailles Encheres - Perri,1969-12-31 18:00:41.013,812.0,agustin cardenas,-0.44,artsy,cuba
Persistence Intime,63.5,152.4,,sculpture,,,Sotheby's,1969-12-31 18:00:40.687,104500.0,agustin cardenas,0.49,artsy,cuba
Composition,62.99,48.49,Work on Paper,ink and gouache on paper,,,Versailles Encheres - Perri,1969-12-31 18:00:40.649,1431.0,agustin cardenas,-0.1,artsy,cuba
Composition,38.0,56.01,Work on Paper,watercolor on paper,,,Versailles Encheres - Perri,1969-12-31 18:00:40.649,1341.0,agustin cardenas,0.03,artsy,cuba
Composition,76.0,56.01,Work on Paper,charcoal on paper,,,Versailles Encheres - Perri,1969-12-31 18:00:40.649,1431.0,agustin cardenas,-0.1,artsy,cuba
Composition,67.01,48.01,Work on Paper,ink and wash on paper,,,Versailles Encheres - Perri,1969-12-31 18:00:40.649,1610.0,agustin cardenas,0.01,artsy,cuba
Composition,32.99,48.01,Work on Paper,ink on paper,,,Versailles Encheres - Perri,1969-12-31 18:00:40.649,1074.0,agustin cardenas,0.06,artsy,cuba
Sans titre,18.69,16.61,Work on Paper,ink and watercolor on paper,1980.0,53.0,Cornette de Saint Cy,1969-12-31 18:00:40.629,352.0,agustin cardenas,-0.29,artsy,cuba
Sans titre,62.99,48.01,Work on Paper,ink wash and gouache on paper,1980.0,53.0,Artcuria,1969-12-31 18:00:40.623,1449.0,agustin cardenas,0.13,artsy,cuba
La pette boule,43.0,27.51,Sculpture,marble,1972.0,45.0,Christophe More,1969-12-31 18:00:40.605,18172.0,agustin cardenas,1.0,artsy,cuba
Untitled,64.7,80.0,Painting,oil on canvas,1966.0,38.0,Bonham,1969-12-31 18:00:44.818,9562.0,agustin fernandez,0.2,artsy,cuba
Le Fil d'Ariadne,123.9,124.5,Painting,oil on canvas,1963.0,35.0,Bonham,1969-12-31 18:00:44.754,20400.0,agustin fernandez,0.17,artsy,cuba
L'Origen,139.7,128.3,Painting,oil on canvas,1964.0,36.0,Bonham,1969-12-31 18:00:44.754,28050.0,agustin fernandez,0.6,artsy,cuba
Untitled,132.1,128.3,Painting,oil on canvas,1963.0,35.0,Christie's,1969-12-31 18:00:44.631,32760.0,agustin fernandez,0.09,artsy,cuba
Recherche Epidémique,81.3,81.3,Painting,oil on canvas,1968.0,40.0,Bonham,1969-12-31 18:00:44.614,14025.0,agustin fernandez,1.0,artsy,cuba
Untitled,121.9,96.5,Painting,oil on canvas,1966.0,38.0,Sotheby's,1969-12-31 18:00:44.176,10710.0,agustin fernandez,-0.29,artsy,cuba
Untitled,54.3,65.0,Painting,oil on canvas,1960.0,32.0,Christie's,1969-12-31 18:00:43.790,22500.0,agustin fernandez,0.29,artsy,cuba
Untitled,173.0,257.2,Painting,oil on canvas,1974.0,46.0,Christie's,1969-12-31 18:00:43.790,35000.0,agustin fernandez,-0.12,artsy,cuba
Stems,127.8,140.3,Painting,oil on canvas,1986.0,58.0,Christie's,1969-12-31 18:00:43.424,30000.0,agustin fernandez,0.5,artsy,cuba
Fuego del sol,122.0,71.7,Painting,oil on canvas,1955.0,27.0,Christie's,1969-12-31 18:00:43.061,20000.0,agustin fernandez,-0.2,artsy,cuba
Pareja,112.0,88.5,Painting,oil on canvas,1951.0,23.0,Christie's,1969-12-31 18:00:42.878,32500.0,agustin fernandez,1.17,artsy,cuba
UNTITLED ,95.0,139.0,,paintings,1952.0,24.0,Sotheby's,1969-12-31 18:00:42.696,32500.0,agustin fernandez,0.3,artsy,cuba
Paisaje,80.01,92.0,Painting,oil on canvas,1973.0,45.0,Segre Subasta,1969-12-31 18:00:42.303,618.0,agustin fernandez,0.0,artsy,cuba
Los Viajeros,80.01,124.99,Painting,oil on canvas,1957.0,29.0,Christie's,1969-12-31 18:00:40.743,1514.0,agustin fernandez,-0.25,artsy,cuba
On the Deck of the Aranella,64.5,46.5,Painting,oil on canvas,,,Dorotheu,1969-12-31 18:00:43.990,24386.0,albert lynch,1.16,artsy,peru
Girl in a Golden Headdress,46.0,37.0,Painting,oil on canvas,,,Sotheby's,1969-12-31 18:00:43.655,9386.0,albert lynch,0.07,artsy,peru
A Young Beauty,62.0,47.0,Painting,oil on canvas,,,Sotheby's,1969-12-31 18:00:43.655,9386.0,albert lynch,-0.25,artsy,peru
A portrait of a maiden,60.0,47.0,Painting,oil on canvas,,,Bonham,1969-12-31 18:00:43.585,10075.0,albert lynch,0.01,artsy,peru
Portrait d'une jeune femme avec des fleurs,86.0,70.0,Painting,oil on canvas,,,Christie's,1969-12-31 18:00:43.446,12792.0,albert lynch,0.13,artsy,peru
A young beauty,46.0,56.0,Painting,oil on canvas,,,Bonham,1969-12-31 18:00:43.222,13750.0,albert lynch,0.1,artsy,peru
Portrait of a young lady in a pink cloak,48.2,38.1,Work on Paper,pastel,,,Bonham,1969-12-31 18:00:42.920,4038.0,albert lynch,1.5,artsy,peru
A fashionable beauty,41.0,30.0,Painting,Oil on canvas,,,Heritage Auction,1969-12-31 18:00:42.878,10000.0,albert lynch,-0.2,artsy,peru
Portrait of young girl,60.0,45.0,Painting,oil on canvas,,,DuMouchelle,1969-12-31 18:00:42.831,12000.0,albert lynch,-0.2,artsy,peru
A female figure in 19th century mourning attire in a coastal setting,42.0,27.0,Work on Paper,watercolor on paper laid on board,,,John Moran Auctioneer,1969-12-31 18:00:42.688,861.0,albert lynch,0.44,artsy,peru
Zwei Junge Frauen im Rosengarten,98.0,72.0,Painting,oil on canvas,,,Hargesheimer Kunstauktionen Dusseldor,1969-12-31 18:00:42.636,40424.0,albert lynch,0.2,artsy,peru
A young beauty,60.96,50.17,Painting,oil on canvas,,,Christie's,1969-12-31 18:00:42.620,53203.0,albert lynch,4.71,artsy,peru
Adieu,8.0,27.51,Work on Paper,"pencil, ink and watercolor on paper",,,Christie's,1969-12-31 18:00:42.506,2345.0,albert lynch,-0.19,artsy,peru
Reverie,73.99,54.51,Painting,oil on canvas,,,Christie's,1969-12-31 18:00:42.506,14432.0,albert lynch,0.67,artsy,peru
Femme a l'Éventail,101.6,81.28,Painting,oil pastel on canvas,,,Neal Auction Compan,1969-12-31 18:00:42.327,6405.0,albert lynch,1.14,artsy,peru
Untitled (Two Actresses on Stage),57.15,39.7,Painting,oil on canvas,,,Rago Arts & Auction Cente,1969-12-31 18:00:42.312,16250.0,albert lynch,2.25,artsy,peru
The recital,35.56,25.4,Work on Paper,watercolor and gouache on heavy paper,1900.0,40.0,Stair Auctioneers & Appraiser,1969-12-31 18:00:42.300,400.0,albert lynch,-0.6,artsy,peru
The red bonnet,21.49,17.5,Painting,oil on panel,,,Christie's,1969-12-31 18:00:42.109,16795.0,albert lynch,1.25,artsy,peru
Elégant se préparant à sortir,65.0,50.5,Painting,oil on canvas,,,Osena,1969-12-31 18:00:41.965,7422.0,albert lynch,0.71,artsy,peru
"Portrait of Eliot Hubbard with his son, Eliot Hubbard, Jr.",53.34,73.66,Painting,oil on canvas,1896.0,36.0,Grogan & Compan,1969-12-31 18:00:41.851,800.0,albert lynch,-0.73,artsy,peru
Portrait in Auburn and Chinese Red,73.66,60.33,Painting,oil on canvas,,,Neal Auction Compan,1969-12-31 18:00:41.817,20910.0,albert lynch,1.09,artsy,peru
Woman In A Red Embroidered Shawl,58.39,43.79,,paintings,,,Sotheby's,1969-12-31 18:00:41.669,22500.0,albert lynch,0.8,artsy,peru
Reverie,65.41,52.71,Painting,oil on canvas,,,Bonham,1969-12-31 18:00:41.583,13750.0,albert lynch,0.96,artsy,peru
Teatime,73.0,91.49,Painting,oil on canvas,,,Bonham,1969-12-31 18:00:41.401,10625.0,albert lynch,0.06,artsy,peru
La nouvelle partition,64.01,77.5,Painting,oil on canvas,,,Artcuria,1969-12-31 18:00:41.373,10189.0,albert lynch,0.11,artsy,peru
La lettre,46.0,38.99,Painting,oil on canvas,,,Agutte,1969-12-31 18:00:41.366,11784.0,albert lynch,2.67,artsy,peru
Femme étendant du linge dans un jardin,53.01,80.01,Painting,oil on canvas,,,Artcuria,1969-12-31 18:00:41.310,4123.0,albert lynch,-0.13,artsy,peru
"Aranella, Cannes Avril",38.1,58.42,Painting,oil on canvas,1891.0,31.0,Leslie Hindman Auctioneer,1969-12-31 18:00:41.254,5500.0,albert lynch,0.1,artsy,peru
A young beauty,62.51,50.7,Painting,oil on canvas,,,Christie's,1969-12-31 18:00:41.233,27898.0,albert lynch,0.4,artsy,peru
Portrait of a young woman in a hat holding a bouquet of flowers,95.25,69.85,Painting,oil on canvas,,,John Moran Auctioneer,1969-12-31 18:00:41.197,22800.0,albert lynch,-0.24,artsy,peru
Portrait,72.39,49.5,Painting,oil on canvas board,,,Heffe,1969-12-31 18:00:41.185,5358.0,albert lynch,0.32,artsy,peru
The picture book,59.0,43.0,Painting,oil on canvas,,,Christie's,1969-12-31 18:00:41.178,12170.0,albert lynch,0.5,artsy,peru
Porträtt av flicka i svart hatt,64.01,53.49,Painting,oil on canvas on panel,,,Uppsala Auktionskammar,1969-12-31 18:00:40.882,10960.0,albert lynch,5.73,artsy,peru
Portrait de femme,46.0,38.0,Painting,oil on canvas,,,Naon & Ci,1969-12-31 18:00:40.869,13000.0,albert lynch,0.86,artsy,peru
Le bal masqué,104.5,69.01,Painting,oil on panel,,,Millon & Associe,1969-12-31 18:00:40.715,31625.0,albert lynch,0.76,artsy,peru
Jeune femme au paravent japonais,24.0,18.49,Painting,painting,,,Brissonneau & Daguerr,1969-12-31 18:00:40.715,2587.0,albert lynch,-0.05,artsy,peru
Daydreams,100.51,65.51,Painting,oil on canvas,,,Bonham,1969-12-31 18:00:40.569,17207.0,albert lynch,0.08,artsy,peru
Peinture tête de femme,21.6,31.8,Painting,oil on panel,1912.0,52.0,Christie's,1969-12-31 18:00:40.568,25000.0,albert lynch,0.0,artsy,peru
Head of a girl in kimono,55.91,43.21,Painting,oil on canvas,,,Waddington,1969-12-31 18:00:40.343,1750.0,albert lynch,-0.28,artsy,peru
Jeune femme dans un paysage à la falaise,23.01,43.0,Painting,oil on board,,,Binoche Renaud Giquell,1969-12-31 18:00:40.332,1439.0,albert lynch,-0.31,artsy,peru
Portrait of a girl in a white bonnet,42.01,28.8,Painting,oil on canvas,,,Christie's,1969-12-31 18:00:40.317,67148.0,albert lynch,4.86,artsy,peru
A young beauty,44.5,59.8,Painting,oil on canvas,1912.0,52.0,Christie's,1969-12-31 18:00:40.295,3800.0,albert lynch,-0.17,artsy,peru
"Paisaje con negro cara de helado de fresa, frambuesa, chocolate y crema y conejo volador",114.0,119.0,Painting,Oil on canvas,,,Morton Casa de Subasta,1969-12-31 18:00:42.852,5773.0,alejandro colunga,-0.31,artsy,mexico
Actor de teatro,40.0,30.0,Painting,oil on canvas,,,Morton Casa de Subasta,1969-12-31 18:00:42.691,1470.0,alejandro colunga,-0.4,artsy,mexico
Autorretrato como Santo Cristo sangrante de cuaresma,70.0,70.0,Painting,oil on canvas,1989.0,41.0,Morton Casa de Subasta,1969-12-31 18:00:42.691,4902.0,alejandro colunga,0.29,artsy,mexico
Untitled,78.0,54.0,Print,lithograph,,,Larsen Art Auctio,1969-12-31 18:00:42.665,240.0,alejandro colunga,-0.52,artsy,mexico
Sin título,76.0,108.0,Work on Paper,mixed media on paper,1982.0,34.0,Morton Casa de Subasta,1969-12-31 18:00:42.663,5912.0,alejandro colunga,0.42,artsy,mexico
Sin Título,65.99,52.71,Work on Paper,mixed media on paper,,,Morton Casa de Subasta,1969-12-31 18:00:42.348,816.0,alejandro colunga,-0.3,artsy,mexico
"El Niño Pescador Que Se Convirtió En Peces, De La Serie Los Niños Pescadores",91.01,61.01,Work on Paper,"ink, oil pastel, acrylic on paper and heliographic",1982.0,34.0,Morton Casa de Subasta,1969-12-31 18:00:42.320,2688.0,alejandro colunga,-0.25,artsy,mexico
"Niña Con Vestido De Animalitos, 1979",76.0,56.21,Print,lithograph intaglio,1979.0,31.0,Morton Casa de Subasta,1969-12-31 18:00:42.285,515.0,alejandro colunga,-0.32,artsy,mexico
"Niña Con Vestido De Animalitos, 1979",76.0,56.21,Print,lithograph and intaglio,1979.0,31.0,Morton Casa de Subasta,1969-12-31 18:00:42.278,502.0,alejandro colunga,-0.32,artsy,mexico
Payaso (Red),81.28,57.15,Print,lithograph on arches,1980.0,32.0,RoGallery.co,1969-12-31 18:00:42.241,500.0,alejandro colunga,-0.37,artsy,mexico
Two Works of Art: Nino Mago Jugando En La Playa (Kid Magician Playing On Beach) and Payaso en Patinetas (Roller Skating Clown),89.54,59.33,Work on Paper,first mixed media on paper and second mixograph,1982.0,34.0,Rago Arts & Auction Cente,1969-12-31 18:00:41.957,2000.0,alejandro colunga,-0.2,artsy,mexico
Viejo dientón (Califa cuando viejito),35.0,29.01,Painting,oil on linen,1986.0,38.0,Morton Casa de Subasta,1969-12-31 18:00:41.871,915.0,alejandro colunga,0.2,artsy,mexico
Sol Sonriente,100.0,100.0,Painting,oil on canvas,1992.0,44.0,Morton Casa de Subasta,1969-12-31 18:00:41.661,4860.0,alejandro colunga,0.08,artsy,mexico
Perro Cirquero,180.01,140.0,Painting,oil on canvas,1988.0,40.0,Morton Casa de Subasta,1969-12-31 18:00:41.661,10469.0,alejandro colunga,0.47,artsy,mexico
Avión,135.0,159.99,Painting,oil on canvas,,,Morton Casa de Subasta,1969-12-31 18:00:41.535,10212.0,alejandro colunga,0.24,artsy,mexico
A puente y macejon,30.48,40.64,Painting,oil on canvas,,,Clark Cierlak Fine Art,1969-12-31 18:00:40.928,950.0,alejandro colunga,-0.52,artsy,mexico
Untitled,100.0,130.0,Painting,oil on canvas,,,Christie's,1969-12-31 18:00:44.834,113400.0,alejandro obregon,0.62,artsy,colombia
Bodegón,88.9,129.5,Painting,oil on canvas,1960.0,40.0,Sotheby's,1969-12-31 18:00:44.699,252000.0,alejandro obregon,3.2,artsy,colombia
El toro,81.3,100.3,Painting,oil on canvas,1960.0,40.0,Christie's,1969-12-31 18:00:44.631,239400.0,alejandro obregon,0.92,artsy,colombia
Untitled,119.4,119.4,Painting,oil on canvas,1965.0,45.0,Christie's,1969-12-31 18:00:44.631,176400.0,alejandro obregon,1.52,artsy,colombia
Bodegón,26.7,21.0,Work on Paper,acrylic on cardboard,1972.0,52.0,Christie's,1969-12-31 18:00:44.610,20000.0,alejandro obregon,-0.11,artsy,colombia
