,title,height,length,art_type,medium_text,date_text,age,house,fecha,price,author,performance,source,country
1219,seated woman in white dress,17.75,12.5,made in mexico, oil on masonite ,1963,59,"john moran auctioneers, inc.",2022-08-23,, jesus leuus,,mutual art,-
1220,"marquis de sade, niño",54.75,55.0,made in mexico, oil on canvas ,1964,58,"john moran auctioneers, inc.",2022-08-23,, josé luis cuevas,,mutual art,-
1223,sapos y chapulines,8.0,11.5,made in mexico," etching, roulette and soft-ground in colors on paper under glass ",1977,45,"john moran auctioneers, inc.",2022-08-23,, francisco toledo,,mutual art,-
1224,"""iguana rehilete,""",15.5,15.25,made in mexico, etching and aquatint in colors on bfk rives paper under glass ,1976,46,"john moran auctioneers, inc.",2022-08-23,, francisco toledo,,mutual art,-
1226,"""maternidad,""",23.75,11.75,made in mexico, acrylic on masonite ,1963,59,"john moran auctioneers, inc.",2022-08-23,, jesus leuus,,mutual art,-
1227,figures seated in a doorway,18.75,19.0,made in mexico, oil with sand on masonite ,1968,54,"john moran auctioneers, inc.",2022-08-23,, jesus leuus,,mutual art,-
1229,"""sol,""",22.75,29.75,made in mexico, mixografia in colors on arches paper under glass ,1976,46,"john moran auctioneers, inc.",2022-08-23,, rufino tamayo,,mutual art,-
1230,"""conejo,""",3.25,5.75,made in mexico, etching and aquatint in colors on paper under glass ,1974,48,"john moran auctioneers, inc.",2022-08-23,, francisco toledo,,mutual art,-
1231,"""laguna verde,""",5.75,7.0,made in mexico, aquatint in colors on paper under glass ,1985,37,"john moran auctioneers, inc.",2022-08-23,, francisco toledo,,mutual art,-
1240,mujer fumando,410.0,335.0,summer edit: editions and works on paper, lithograph printed in colours on wove paper ,1965,57,forum auctions london,2022-08-18,1795.0, fernando botero,8.572110792741165,mutual art,-
1245,"la negra, from mujeres",27.25,21.0,prints & multiples: summer splash, lithograph in colors on rives bfk ,1969,53,bonhams,2022-08-16,, rufino tamayo,,mutual art,-
1247,hombre en negro,30.125,22.5,prints & multiples: summer splash, mixografía® in colors on wove paper ,1976,46,bonhams,2022-08-16,, rufino tamayo,,mutual art,-
1249,"masque rouge (red mask), from mujeres (pereda 124)",21.25,27.5,prints & multiples: summer splash, lithograph in colors on rives bfk paper ,1969,53,bonhams,2022-08-16,, rufino tamayo,,mutual art,-
1250,dos figuras (pereda 220),22.5,30.0,prints & multiples: summer splash, mixografía® relief print in colors on wove paper ,1976,46,bonhams,2022-08-16,, rufino tamayo,,mutual art,-
1254,mercado de carne en hamburgo. carnicero,33.02,9.0,morton's saturdays | opportunities 1151, ink on paper ,1973,49,"morton auctions, cerro de mayka",2022-08-13,302.0, josé luis cuevas,0.7500310443313052,mutual art,-
1255,"""dos personajes""",27.2,37.0,morton's saturdays | opportunities 1151, lithograph ,1999,23,"morton auctions, cerro de mayka",2022-08-13,151.0, josé luis cuevas,1.1998410806515694,mutual art,-
1263,estudio de manos; contorsionistas,28.0,20.5,auction of graphic work and photography, etchings and etching ,1974,48,"morton auctions, cerro de mayka",2022-08-11,251.0, josé luis cuevas,0.625,mutual art,-
1264,pescadores en blanes,109.22,63.0,auction of graphic work and photography, aquatint and etching ,1981,41,"morton auctions, cerro de mayka",2022-08-11,477.0, josé luis cuevas,0.7916355489171024,mutual art,-
1294,cabeza sobre fondo verde,142.24,76.0,auction of graphic work and photography, etchings ,1979,43,"morton auctions, cerro de mayka",2022-08-11,2760.0, rufino tamayo,0.8800038261035917,mutual art,-
1326,les venusiennes,18.5,23.75,studio art, color lithograph on paper ,1971,51,"skinner, marlborough",2022-07-23,, roberto matta,,mutual art,-
1330,champagne millésime da collezione di matta per taittinger collection.,88.9,5.0,modern & contemporary art virtual, screen printing multiple and bottle ,1992,30,capitolium art,2022-07-27,178.0, roberto matta,0.5866842452208306,mutual art,-
1331,nuotare nella musica.,53.0,49.0,modern & contemporary art virtual, etching ,1980,42,capitolium art,2022-07-27,153.0, roberto matta,0.3774981495188749,mutual art,-
1332,untitled,14.0,7.0,cool for the summer, marble ,1991,31,hindman,2022-07-28,16244.0, agustin cárdenas,1.6250012504626714,mutual art,-
1334,untitled (child in profile),13.0,11.125,modern design | art, pencil on paper ,1980,42,bonhams,2022-07-28,1020.0, rafael coronel,0.68,mutual art,-
