title,height,length,art_type,date_text,age,house,fecha,price,author,performance,source,country,list_technique,acrylic,aquatint,arches,black,board,bronze,brown,canvas,cardboard,charcoal,color,colors,colours,crayon,down,etching,gelatin,gouache,graphite,guarro,handmade,ink,laid,lithograph,lithographs,masonite,media,metal,mixed,mixografía,mixograph,mounted,nylon,oil,painted,panel,paper,pastel,patina,pencil,plexiglas,plexiglass,print,printed,rice,rods,sand,screenprint,silkscreen,silver,tempera,watercolor,wood,wove
"Le cercle by Hervé Télémaque, 1974",193.04,56.0,Pop & Contemporary Art,1974,48,TGP Auction,2022-09-20,410.0, Hervé Télémaque,-420,Mutual Art,-,"['lithograph', 'on', 'wove', 'paper']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Toward the City' by Guillermo Trujillo, 1961",20.25,31.5,Metro Online Auction: A Timed Auction,1961,61,Weschler's,2022-09-20,, Guillermo Trujillo,-420,Mutual Art,-,"['oil', 'on', 'canvas']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butterflies by Jose Haro, Painted in 2022",124.46,76.0,HUGE MODERN ART AUCTION - LIVE ONLINE,2022,0,Ozbid Auctions,2022-09-20,378.0, Jose Haro,-420,Mutual Art,-,"['mixed', 'media']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Papillon by Jose Haro, Painted in 2021",254.0,130.0,HUGE MODERN ART AUCTION - LIVE ONLINE,2021,1,Ozbid Auctions,2022-09-20,961.0, Jose Haro,-420,Mutual Art,-,"['mixed', 'media']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sunflower Shower by Jose Haro, Painted in 2022",279.4,80.0,HUGE MODERN ART AUCTION - LIVE ONLINE,2022,0,Ozbid Auctions,2022-09-20,378.0, Jose Haro,-420,Mutual Art,-,"['mixed', 'media', 'on', 'canvas']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Large abstract triptych oil on canvas by Irma Palacios Flores, 1999",48.25,96.5,"GREENWICH, CT ESTATE AUCTION, ANTIQUES, DECOR, FINE-ART",1999,23,Westport Auction,2022-09-19,, Irma Palacios Flores,-420,Mutual Art,-,['oc'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mujer cabalgante by Carlos Orozco Romero, 1973",72.39,20.5,Morton Saturdays. Opportunities 1156,1973,49,"Morton Auctions, Monte Athos",2022-09-17,697.0, Carlos Orozco Romero,-420,Mutual Art,-,"['ink', 'pencil', 'drawing', 'on', 'paper']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metasistema_1 by Daniel Evo, 2018",254.0,140.0,Morton Saturdays. Opportunities 1156,2018,4,"Morton Auctions, Monte Athos",2022-09-17,274.0, Daniel Evo,-420,Mutual Art,-,"['acrylic', 'oil', 'enamel', 'adhesive', 'tape', 'vinyl', 'and', 'paper', 'collage', 'on', 'canvas']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A nude and a figure strumming an instrument by Hector Ayala, dated 1974",47.375,66.75,September Exceptional Estates Auction,1974,48,Blackwell Auctions,2022-09-17,, Hector Ayala,-420,Mutual Art,-,['painting'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vibration by Jesus-Rafael Soto, 1974",98.5,77.5,LIVE STREAM AUCTION,1974,48,SBI Art Auction,2022-09-17,415.0, Jesus-Rafael Soto,-420,Mutual Art,-,['screenprint'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CARONI by Jesus-Rafael Soto, 1971",41.9,41.9,LIVE STREAM AUCTION,1971,51,SBI Art Auction,2022-09-17,332.0, Jesus-Rafael Soto,-420,Mutual Art,-,['screenprint'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Pequeña Dama Personaje Rojo by Manuel Chong Neto, 1983",20.0,24.0,Capital Collections Auction,1983,39,Weschler's,2022-09-16,, Manuel Chong Neto,-420,Mutual Art,-,"['oil', 'on', 'canvas']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nude Female by Juan Gastelum, 2003",38.0,13.5,Fall Modern + Contemporary Art + Design,2003,19,Clars Auction Gallery,2022-09-16,, Juan Gastelum,-420,Mutual Art,-,"['bronze', 'sculpture']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Circe by Rodolfo Abularach, circa 1970",16.0,24.0,September Estate Catalogue Auction,1970,52,Sloans & Kenyon,2022-09-15,, Rodolfo Abularach,-420,Mutual Art,-,"['engraving', 'or', 'mezzotint']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Portrait by Oswaldo Guayasamín, circa 1990",18.0,26.0,September Estate Catalogue Auction,1990,32,Sloans & Kenyon,2022-09-15,, Oswaldo Guayasamín,-420,Mutual Art,-,"['limited', 'edition', 'print']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Mansion del Espiritu Sereno by César Izquierdo, 1980",24.0,32.0,September Estate Catalogue Auction,1980,42,Sloans & Kenyon,2022-09-15,, César Izquierdo,-420,Mutual Art,-,"['oil', 'and', 'gesso', 'on', 'board']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Creatures in Mascaras by Nelson Roman, 1986",19.0,23.0,September Estate Catalogue Auction,1986,36,Sloans & Kenyon,2022-09-15,, Nelson Roman,-420,Mutual Art,-,"['oil', 'on', 'canvas']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stool by Sergio Rodrigues, circa 1965",130.5,240.25,A Seat for One: Historical Stools from the JF Chen Collection,1965,57,Wright,2022-09-15,, Sergio Rodrigues,-420,Mutual Art,-,"['rosewood', 'leather']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Two paintings: Extrajo (Extract) by Nicolás García Uriburu, 1962",10.0,12.25,Emporium Auction,1962,60,Brunk Auctions,2022-09-15,, Nicolás García Uriburu,-420,Mutual Art,-,"['oil', 'on', 'canvas']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Ermitaño by Rufino Tamayo, 1989",260.5,360.5,Prints + Multiples,1989,33,Los Angeles Modern Auctions,2022-09-08,, Rufino Tamayo,-420,Mutual Art,-,"['lithograph', 'in', 'colors', 'on', 'arches']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Untitled by Raúl Anguiano, 1968",63.5,20.0,FRENCH FURNITURE AUCTION. INCLUDES DECORATIVE ARTS,1968,54,"Morton Auctions, Cerro de Mayka",2022-09-03,149.0, Raúl Anguiano,-420,Mutual Art,-,['engraving'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ojo es ojo para el III Festival de Cine en Bogotá by Enrique Grau, 1986",199.39,56.0,Engravings and multiple,1986,36,BogotAuctions,2022-08-25,68.0, Enrique Grau,-420,Mutual Art,-,"['offset', 'printing']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"De la carpeta Una temporada en el infierno by Roberto Matta, 1978",119.38,36.0,Engravings and multiple,1978,44,BogotAuctions,2022-08-25,728.0, Roberto Matta,-420,Mutual Art,-,"['etching', 'aquatint', 'on', 'paper']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El espejo by Enrique Grau, 1990",189.23,54.0,Engravings and multiple,1990,32,BogotAuctions,2022-08-25,455.0, Enrique Grau,-420,Mutual Art,-,"['lithograph', 'on', 'paper']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boca del Río by Raúl Anguiano, 1957",243.84,130.5,MODERN AND CONTEMPORARY ART,1957,65,"Morton Auctions, Monte Athos",2022-08-25,12032.0, Raúl Anguiano,-420,Mutual Art,-,"['oil', 'on', 'canvas']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Girl in Blue Holding a Bird by Gustavo Montoya, 1985",27.125,21.25,Prints & Multiples,1985,37,"Heritage Auctions, Dallas",2022-08-24,, Gustavo Montoya,-420,Mutual Art,-,"['serigraph', 'in', 'colors', 'on', 'wove', 'paper']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Personaje, Luna Y Estrella by Rufino Tamayo, 1975",22.0,30.0,Made In Mexico,1975,47,"John Moran Auctioneers, Inc.",2022-08-23,, Rufino Tamayo,-420,Mutual Art,-,"['etching', 'and', 'aquatint', 'in', 'colors', 'on', 'guarro', 'paper', 'under', 'glass']",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
