DATE,sp500,daily_return
2012-10-16,1454.92,0.010269906189024569
2012-10-17,1460.91,0.004117064855799546
2012-10-18,1457.34,-0.002443682362363253
2012-10-19,1433.19,-0.01657128741405567
2012-10-22,1433.82,0.0004395788416049484
2012-10-23,1413.11,-0.014443932990194086
2012-10-24,1408.75,-0.0030853932107195448
2012-10-25,1412.97,0.002995563442768523
2012-10-26,1411.94,-0.0007289609828942112
2012-11-01,1427.59,0.010926523906639396
2012-11-02,1414.2,-0.00937944367780652
2012-11-05,1417.26,0.0021637675010606205
2012-11-06,1428.39,0.00785318149104608
2012-11-07,1394.53,-0.023705010536338222
2012-11-08,1377.51,-0.012204828867073525
2012-11-09,1379.85,0.0016987172506914838
2012-11-12,1380.03,0.0001304489618436655
2012-11-13,1374.53,-0.003985420606798407
2012-11-14,1355.49,-0.013852007595323457
2012-11-15,1353.33,-0.0015935196866078138
2012-11-16,1359.88,0.004839913398801521
2012-11-19,1386.89,0.01986204665117519
2012-11-20,1387.81,0.0006633547000842732
2012-11-21,1391.03,0.0023202023331725385
2012-11-26,1406.29,-0.0020295923074195032
2012-11-27,1398.94,-0.005226518001265723
2012-11-28,1409.93,0.007855948074971142
2012-11-29,1415.95,0.004269715517791761
2012-11-30,1416.18,0.000162435114234194
2012-12-03,1409.46,-0.0047451595136212
2012-12-04,1407.05,-0.0017098747037873618
2012-12-05,1409.28,0.0015848761593404426
2012-12-06,1413.94,0.003306653042688623
2012-12-07,1418.07,0.002920916021896147
2012-12-10,1418.55,0.00033848822695636827
2012-12-11,1427.84,0.0065489408198511345
2012-12-12,1428.48,0.00044822949350065144
2012-12-13,1419.45,-0.006321404569892497
2012-12-14,1413.58,-0.0041354045581035725
2012-12-17,1430.36,0.011870569759051541
2012-12-18,1446.79,0.01148661875332091
2012-12-19,1435.81,-0.007589214744365136
2012-12-20,1443.69,0.0054881913345081745
2012-12-21,1430.15,-0.009378744744370282
2012-12-24,1426.66,-0.0024403034646715005
2012-12-27,1418.1,-0.0012184557306156307
2012-12-28,1402.43,-0.011049996474155499
2012-12-31,1426.19,0.01694202206170714
2013-01-03,1459.37,-0.0020855841687067445
2013-01-04,1466.47,0.004865113028224677
2013-01-07,1461.89,-0.0031231460582213932
2013-01-08,1457.15,-0.0032423780174979377
2013-01-09,1461.02,0.0026558693339737705
2013-01-10,1472.12,0.007597431931116505
2013-01-11,1472.05,-4.755047142890323e-05
2013-01-14,1470.68,-0.0009306749091402278
2013-01-15,1472.34,0.0011287295672748332
2013-01-16,1472.63,0.00019696537484570342
2013-01-17,1480.94,0.00564296530696784
2013-01-18,1485.98,0.0034032438856401726
2013-01-23,1494.81,0.0015074770863483522
2013-01-24,1494.82,6.689813421001389e-06
2013-01-25,1502.96,0.005445471695588733
2013-01-28,1500.18,-0.0018496832916378159
2013-01-29,1507.84,0.0051060539401937
2013-01-30,1501.96,-0.003899617996604321
2013-01-31,1498.11,-0.0025633172654399017
2013-02-01,1513.17,0.010052666359613216
2013-02-04,1495.71,-0.011538690299173315
2013-02-05,1511.29,0.01041645773579103
2013-02-06,1512.12,0.0005491996903306262
2013-02-07,1509.39,-0.0018054122688674346
2013-02-08,1517.93,0.005657914786768137
2013-02-11,1517.01,-0.0006060885548082595
2013-02-12,1519.43,0.0015952432745993672
2013-02-13,1520.33,0.0005923273859276268
2013-02-14,1521.38,0.0006906395322070491
2013-02-15,1519.79,-0.0010451037873510094
2013-02-20,1511.95,-0.01240414385932831
2013-02-21,1502.42,-0.0063031184893680425
2013-02-22,1515.6,0.008772513677932858
2013-02-25,1487.85,-0.018309580364212152
2013-02-26,1496.94,0.006109486843431933
2013-02-27,1515.99,0.012725960960359162
2013-02-28,1514.68,-0.000864121794998618
2013-03-01,1518.2,0.002323923204901268
2013-03-04,1525.2,0.004610723224871549
2013-03-05,1539.79,0.009565958562811394
2013-03-06,1541.46,0.0010845634794356407
2013-03-07,1544.26,0.0018164597200056587
2013-03-08,1551.18,0.004481110693795198
2013-03-11,1556.22,0.00324913936487059
2013-03-12,1552.48,-0.0024032591792934044
2013-03-13,1554.52,0.0013140265897144676
2013-03-14,1563.23,0.005603015721894922
2013-03-15,1560.7,-0.0016184438630272302
2013-03-18,1552.1,-0.005510347920804848
2013-03-19,1548.34,-0.002422524321886499
2013-03-20,1558.71,0.006697495382151253
2013-03-21,1545.8,-0.008282490007762933
2013-03-22,1556.89,0.007174278690645686
2013-03-25,1551.69,-0.0033399919069426742
2013-03-26,1563.77,0.007785060160212298
2013-03-27,1562.85,-0.0005883218120312783
2013-03-28,1569.19,0.004056691301148607
2013-04-02,1570.25,0.005172292388152311
2013-04-03,1553.69,-0.010546091386721801
2013-04-04,1559.98,0.004048426648816772
2013-04-05,1553.28,-0.004294926858036674
2013-04-08,1563.07,0.006302791512154959
2013-04-09,1568.61,0.003544307036792871
2013-04-10,1587.73,0.012189135604133705
2013-04-11,1593.37,0.003552241250086574
2013-04-12,1588.85,-0.0028367548027137257
2013-04-15,1552.36,-0.02296629637788339
2013-04-16,1574.57,0.014307248318689014
2013-04-17,1552.01,-0.01432772121912651
2013-04-18,1541.61,-0.006700987751367626
2013-04-19,1555.25,0.008847892787410716
2013-04-22,1562.5,0.004661629963028435
2013-04-23,1578.78,0.010419200000000073
2013-04-24,1578.79,6.3340047378179776e-06
2013-04-25,1585.16,0.004034735461967864
2013-04-26,1582.24,-0.0018420853415428429
2013-04-29,1593.61,0.007186014763878923
2013-04-30,1597.57,0.0024849241658875254
2013-05-01,1582.7,-0.009307886352397654
