date, value,returns
24/07/1962,4.01,0.0024999999999999467
25/07/1962,4.02,0.0024937655860348684
26/07/1962,4.01,-0.0024875621890546595
27/07/1962,4.02,0.0024937655860348684
30/07/1962,4.03,0.0024875621890549926
31/07/1962,4.04,0.002481389578163684
01/08/1962,4.03,-0.0024752475247524774
02/08/1962,4.0,-0.007444168734491385
03/08/1962,4.01,0.0024999999999999467
06/08/1962,4.01,0.0
07/08/1962,4.02,0.0024937655860348684
08/08/1962,4.01,-0.0024875621890546595
09/08/1962,3.99,-0.004987531172069737
10/08/1962,3.99,0.0
13/08/1962,3.99,0.0
14/08/1962,3.98,-0.0025062656641604564
15/08/1962,3.98,0.0
16/08/1962,3.96,-0.005025125628140725
17/08/1962,3.96,0.0
20/08/1962,3.94,-0.005050505050505083
21/08/1962,3.94,0.0
22/08/1962,3.95,0.002538071065989911
23/08/1962,3.95,0.0
24/08/1962,3.95,0.0
27/08/1962,3.95,0.0
28/08/1962,3.96,0.0025316455696202667
29/08/1962,3.96,0.0
30/08/1962,3.95,-0.002525252525252486
31/08/1962,3.96,0.0025316455696202667
04/09/1962,3.96,0.0
05/09/1962,3.97,0.002525252525252597
06/09/1962,3.99,0.005037783375314797
07/09/1962,4.01,0.005012531328320691
10/09/1962,4.0,-0.0024937655860348684
11/09/1962,4.0,0.0
12/09/1962,4.0,0.0
13/09/1962,3.99,-0.0024999999999999467
14/09/1962,3.99,0.0
17/09/1962,3.99,0.0
18/09/1962,3.98,-0.0025062656641604564
19/09/1962,3.99,0.002512562814070307
20/09/1962,3.98,-0.0025062656641604564
21/09/1962,3.98,0.0
24/09/1962,3.97,-0.002512562814070307
25/09/1962,3.96,-0.0025188916876575096
26/09/1962,3.95,-0.002525252525252486
27/09/1962,3.95,0.0
28/09/1962,3.94,-0.0025316455696202667
01/10/1962,3.93,-0.0025380710659898
02/10/1962,3.92,-0.0025445292620865922
03/10/1962,3.9,-0.005102040816326481
04/10/1962,3.9,0.0
05/10/1962,3.92,0.00512820512820511
08/10/1962,3.93,0.0025510204081633514
09/10/1962,3.95,0.0050890585241729624
10/10/1962,3.93,-0.005063291139240533
11/10/1962,3.94,0.0025445292620864812
15/10/1962,3.94,0.0
16/10/1962,3.94,0.0
17/10/1962,3.94,0.0
18/10/1962,3.92,-0.005076142131979711
19/10/1962,3.88,-0.010204081632653073
22/10/1962,3.91,0.0077319587628865705
23/10/1962,3.94,0.007672634271099765
24/10/1962,3.94,0.0
25/10/1962,3.94,0.0
26/10/1962,3.93,-0.0025380710659898
29/10/1962,3.92,-0.0025445292620865922
30/10/1962,3.92,0.0
31/10/1962,3.92,0.0
01/11/1962,3.92,0.0
02/11/1962,3.91,-0.0025510204081632404
05/11/1962,3.91,0.0
07/11/1962,3.91,0.0
08/11/1962,3.9,-0.002557544757033292
09/11/1962,3.89,-0.002564102564102555
13/11/1962,3.9,0.0025706940874035134
14/11/1962,3.91,0.002564102564102555
15/11/1962,3.91,0.0
16/11/1962,3.93,0.005115089514066584
19/11/1962,3.93,0.0
20/11/1962,3.93,0.0
21/11/1962,3.92,-0.0025445292620865922
23/11/1962,3.92,0.0
26/11/1962,3.93,0.0025510204081633514
27/11/1962,3.92,-0.0025445292620865922
28/11/1962,3.92,0.0
29/11/1962,3.92,0.0
30/11/1962,3.92,0.0
03/12/1962,3.93,0.0025510204081633514
04/12/1962,3.94,0.0025445292620864812
05/12/1962,3.93,-0.0025380710659898
06/12/1962,3.92,-0.0025445292620865922
07/12/1962,3.91,-0.0025510204081632404
10/12/1962,3.9,-0.002557544757033292
11/12/1962,3.89,-0.002564102564102555
12/12/1962,3.88,-0.0025706940874036244
13/12/1962,3.88,0.0
14/12/1962,3.87,-0.002577319587628857
17/12/1962,3.85,-0.0051679586563307955
18/12/1962,3.83,-0.0051948051948051965
19/12/1962,3.84,0.0026109660574411553
20/12/1962,3.83,-0.0026041666666666297
21/12/1962,3.81,-0.005221932114882533
24/12/1962,3.79,-0.005249343832021025
26/12/1962,3.79,0.0
27/12/1962,3.81,0.005277044854881341
28/12/1962,3.84,0.007874015748031482
31/12/1962,3.85,0.0026041666666667407
02/01/1963,3.82,-0.007792207792207906
03/01/1963,3.81,-0.002617801047120394
04/01/1963,3.84,0.007874015748031482
07/01/1963,3.83,-0.0026041666666666297
08/01/1963,3.81,-0.005221932114882533
09/01/1963,3.82,0.002624671916010346
10/01/1963,3.81,-0.002617801047120394
11/01/1963,3.8,-0.002624671916010568
14/01/1963,3.81,0.0026315789473685403
15/01/1963,3.8,-0.002624671916010568
16/01/1963,3.8,0.0
17/01/1963,3.82,0.0052631578947368585
18/01/1963,3.84,0.005235602094240788
21/01/1963,3.85,0.0026041666666667407
22/01/1963,3.86,0.0025974025974024872
23/01/1963,3.86,0.0
24/01/1963,3.86,0.0
