DATE,TB3MS,returns
1947-09-01,0.8,0.06666666666666665
1947-10-01,0.85,0.0625
1947-11-01,0.92,0.08235294117647074
1947-12-01,0.95,0.032608695652173836
1948-01-01,0.97,0.021052631578947434
1948-02-01,1.0,0.030927835051546504
1948-03-01,1.0,0.0
1948-04-01,1.0,0.0
1948-05-01,1.0,0.0
1948-06-01,1.0,0.0
1948-07-01,1.0,0.0
1948-08-01,1.06,0.06000000000000005
1948-09-01,1.09,0.028301886792452935
1948-10-01,1.12,0.02752293577981657
1948-11-01,1.14,0.01785714285714257
1948-12-01,1.16,0.01754385964912286
1949-01-01,1.17,0.008620689655172376
1949-02-01,1.17,0.0
1949-03-01,1.17,0.0
1949-04-01,1.17,0.0
1949-05-01,1.17,0.0
1949-06-01,1.17,0.0
1949-07-01,1.02,-0.12820512820512808
1949-08-01,1.04,0.019607843137254832
1949-09-01,1.07,0.028846153846153966
1949-10-01,1.05,-0.01869158878504673
1949-11-01,1.08,0.028571428571428692
1949-12-01,1.1,0.0185185185185186
1950-01-01,1.07,-0.027272727272727337
1950-02-01,1.12,0.04672897196261694
1950-03-01,1.12,0.0
1950-04-01,1.15,0.02678571428571419
1950-05-01,1.16,0.008695652173912993
1950-06-01,1.15,-0.008620689655172376
1950-07-01,1.16,0.008695652173912993
1950-08-01,1.2,0.034482758620689724
1950-09-01,1.3,0.08333333333333348
1950-10-01,1.31,0.007692307692307665
1950-11-01,1.36,0.03816793893129766
1950-12-01,1.34,-0.014705882352941235
1951-01-01,1.34,0.0
1951-02-01,1.36,0.014925373134328401
1951-03-01,1.4,0.02941176470588225
1951-04-01,1.47,0.050000000000000044
1951-05-01,1.55,0.054421768707483054
1951-06-01,1.45,-0.06451612903225812
1951-07-01,1.56,0.07586206896551739
1951-08-01,1.62,0.03846153846153855
1951-09-01,1.63,0.006172839506172645
1951-10-01,1.54,-0.05521472392638027
1951-11-01,1.56,0.012987012987013102
1951-12-01,1.73,0.10897435897435903
1952-01-01,1.57,-0.09248554913294793
1952-02-01,1.54,-0.019108280254777066
1952-03-01,1.59,0.032467532467532534
1952-04-01,1.57,-0.012578616352201255
1952-05-01,1.67,0.06369426751592355
1952-06-01,1.7,0.017964071856287456
1952-07-01,1.81,0.06470588235294117
1952-08-01,1.83,0.011049723756906049
1952-09-01,1.71,-0.06557377049180335
1952-10-01,1.74,0.01754385964912286
1952-11-01,1.85,0.06321839080459779
1952-12-01,2.09,0.12972972972972951
1953-01-01,1.96,-0.062200956937799035
1953-02-01,1.97,0.005102040816326481
1953-03-01,2.01,0.02030456852791862
1953-04-01,2.19,0.08955223880597019
1953-05-01,2.16,-0.013698630136986245
1953-06-01,2.11,-0.02314814814814825
1953-07-01,2.04,-0.033175355450236865
1953-08-01,2.04,0.0
1953-09-01,1.79,-0.12254901960784315
1953-10-01,1.38,-0.22905027932960897
1953-11-01,1.44,0.04347826086956519
1953-12-01,1.6,0.11111111111111116
1954-01-01,1.18,-0.26250000000000007
1954-02-01,0.97,-0.17796610169491522
1954-03-01,1.03,0.061855670103092786
1954-04-01,0.97,-0.058252427184466105
1954-05-01,0.76,-0.21649484536082475
1954-06-01,0.64,-0.1578947368421053
1954-07-01,0.72,0.125
1954-08-01,0.92,0.2777777777777779
1954-09-01,1.01,0.09782608695652173
1954-10-01,0.98,-0.02970297029702973
1954-11-01,0.93,-0.05102040816326525
1954-12-01,1.15,0.23655913978494603
1955-01-01,1.22,0.0608695652173914
1955-02-01,1.17,-0.040983606557377095
1955-03-01,1.28,0.09401709401709413
1955-04-01,1.59,0.2421875
1955-05-01,1.45,-0.0880503144654089
1955-06-01,1.41,-0.02758620689655178
1955-07-01,1.6,0.13475177304964547
1955-08-01,1.9,0.18749999999999978
1955-09-01,2.07,0.08947368421052637
1955-10-01,2.23,0.07729468599033829
1955-11-01,2.24,0.004484304932735439
1955-12-01,2.54,0.1339285714285714
1956-01-01,2.41,-0.051181102362204633
1956-02-01,2.32,-0.03734439834024905
1956-03-01,2.25,-0.030172413793103425
1956-04-01,2.6,0.15555555555555567
1956-05-01,2.61,0.0038461538461538325
1956-06-01,2.49,-0.045977011494252706
1956-07-01,2.31,-0.07228915662650603
1956-08-01,2.6,0.12554112554112562
1956-09-01,2.84,0.0923076923076922
1956-10-01,2.9,0.021126760563380254
1956-11-01,2.99,0.031034482758620863
1956-12-01,3.21,0.0735785953177257
1957-01-01,3.11,-0.031152647975077885
1957-02-01,3.1,-0.003215434083601254
1957-03-01,3.08,-0.006451612903225823
