ID,precio estimado,precio_venta,fecha,autor,casa subasta,tipo,tecnica,dimensiones,precio estimado dolares,precio venta dolares
1,"2,000 - 3,000 eur",upcoming,"oct 13, 2022",sergio larrain,finarte,photographs,vintage gelatin silver print,12.2 x 8.3 in8.3 x 8.3 in,2910.0,upcoming
2,500 - 800 eur,upcoming,"oct 13, 2022",martin chambi,finarte,photographs,vintage gelatin silver print,2.6 x 2.4 in2.2 x 2 in,776.0,upcoming
3,600 - 900 eur,upcoming,"oct 13, 2022",jorge friedmann,finarte,photographs,vintage gelatin silver print,9.4 x 7 in,873.0,upcoming
4,"1,500 - 2,500 eur",upcoming,"oct 13, 2022",leo matiz,finarte,photographs,digital print,"16.2 x 11.6 in12.4 x 9.3 in10 """,2425.0,upcoming
5,"1,500 - 2,500 eur",upcoming,"oct 13, 2022",leo matiz,finarte,photographs,digital print,"16.5 x 11.6 in13.4 x 9.8 in10 """,2425.0,upcoming
6,500 - 800 eur,upcoming,"oct 13, 2022",sebastiao salgado,finarte,photographs,vintage gelatin silver print,7.9 x 12.1 in7.3 x 11.2 in,776.0,upcoming
7,500 - 800 eur,upcoming,"oct 13, 2022",osvaldo salas,finarte,photographs,gelatin silver print,15.9 x 19.8 in12.5 x 16.3 in60 in,776.0,upcoming
8,"1,500 - 2,500 eur",upcoming,"oct 13, 2022",leo matiz,finarte,photographs,digital print,"16.5 x 11.6 in9.6 x 9.6 in10 """,2425.0,upcoming
9,500 - 800 eur,upcoming,"oct 13, 2022",leo matiz,finarte,photographs,vintage gelatin silver print,10 x 8.1 in,776.0,upcoming
10,"1,500 - 2,500 eur",upcoming,"oct 13, 2022",leo matiz,finarte,photographs,digital print,"16.4 x 11.6 in9.9 x 9.8 in10 """,2425.0,upcoming
11,150 - 250 gbp,upcoming,"oct 12, 2022",manuel hernandez valdes,mctear's,british & international pictures,blueoil on canvas,"image size 58cm x 48cm, overall size 70cm x...",270.0,upcoming
12,"800 - 1,200 gbp",upcoming,"oct 12, 2022",amalia pica,roseberyas fine art auctioneers,day two: modern british & 20th century art,"wood, metal and glass",h67 x w37 x d6 cm (,1296.0,upcoming
13,525 - 675 usd,upcoming,"oct 09, 2022",c. pierre latour,broward auction gallery,old antique & vintage paintings (oct 2022),oil on canvas,20 x 24 1/2 inches / 50 x 63 cm,675.0,upcoming
14,"1,900 - 2,500 usd",upcoming,"oct 09, 2022",horacio renteria rocha,broward auction gallery,old antique & vintage paintings (oct 2022),oil on canvas,24 x 18 1/2 inches / 60 x 48 cm,2500.0,upcoming
15,425 - 525 usd,upcoming,"oct 09, 2022",henry r. roger,broward auction gallery,old antique & vintage paintings (oct 2022),oil on board,18 x 24 inches / 45 x 60 cm,525.0,upcoming
16,450 - 575 usd,upcoming,"oct 09, 2022",jacksin mesidor,broward auction gallery,old antique & vintage paintings (oct 2022),oil on canvas,24 x 20 inches / 60 x 50 cm,575.0,upcoming
17,525 - 675 usd,upcoming,"oct 09, 2022",rafael y antonio gonzalez,broward auction gallery,old antique & vintage paintings (oct 2022),oil on canvas,24 x 32 inches / 60 x 81 cm,675.0,upcoming
18,"850 - 1,050 usd",upcoming,"oct 09, 2022",nelson franco,broward auction gallery,old antique & vintage paintings (oct 2022),acrylic on paper,30 x 23 inches / 75 x 58 cm,1050.0,upcoming
19,340 - 425 usd,upcoming,"oct 09, 2022",gustavo moncayo,broward auction gallery,old antique & vintage paintings (oct 2022),oil on canvas,6 x 9 inches / 15 x 22 cm,425.0,upcoming
20,"1,500 - 2,000 usd",upcoming,"oct 09, 2022",orlando agudelo-botero,broward auction gallery,old antique & vintage paintings (oct 2022),mixed media on paper,24 x 33 inches / 60 x 83 cm,2000.0,upcoming
21,525 - 675 usd,upcoming,"oct 09, 2022",edgar barrios,broward auction gallery,old antique & vintage paintings (oct 2022),oil on canvas,24 x 20 inches / 60 x 50 cm,675.0,upcoming
22,475 - 600 usd,upcoming,"oct 09, 2022",antonio pedone,broward auction gallery,old antique & vintage paintings (oct 2022),oil on canvas board,20 x 28 inches / 50 x 71 cm,600.0,upcoming
23,360 - 450 usd,upcoming,"oct 09, 2022",david s louis,broward auction gallery,old antique & vintage paintings (oct 2022),oil on canvas,8 x 10 inches / 20 x 25 cm,450.0,upcoming
24,"3,000 - 5,000 usd",upcoming,"oct 06, 2022",mavis pusey,swann auction galleries,african american art,color screenprint,"736x584 mm; 29x23 inches,",5000.0,upcoming
25,"20,000 - 25,000 usd",upcoming,"oct 06, 2022",luis alberto quispe aparicio,bonhams los angeles,animalia,lead,24 x 12 x 8in (61 x 30.5 x 20.3cm),25000.0,upcoming
26,"2,000 - 3,000 usd",upcoming,"oct 06, 2022",eva rubinstein,bonhams los angeles,animalia,gelatin silver print,sheet 10 x 8in (25.2 x 20.2cm) 9 x 6in ( 3.5...,3000.0,upcoming
27,"1,200 - 1,500 usd",upcoming,"oct 06, 2022",luis alberto quispe aparicio,bonhams los angeles,animalia,gold,9 x 6 x 8 in (24.1 x 15.3 x 21.6cm),1500.0,upcoming
28,"1,200 - 1,800 usd",upcoming,"oct 06, 2022",luis alberto quispe aparicio,bonhams los angeles,animalia,polished black onyx,9 x 4 x 4 in (22.9 x 10.8 x 10.8cm),1800.0,upcoming
29,"2,000 - 3,000 usd",upcoming,"oct 06, 2022",mavis pusey,swann auction galleries,african american art,color screenprint on wove paper,"730x572 mm; 28 3/4x22 1/2 inches,",3000.0,upcoming
30,"1,500 - 2,500 usd",upcoming,"oct 06, 2022",mavis pusey,swann auction galleries,african american art,color screenprint on arches,"234x336 mm; 9 1/4x13 1/4 inches,",2500.0,upcoming
31,"800 - 1,200 usd",upcoming,"oct 06, 2022",luis alberto quispe aparicio,bonhams los angeles,animalia,polished onyx,8 x 5 x 5in (21.6 x 12.7 x 12.7cm),1200.0,upcoming
32,"12,000 - 15,000 usd",upcoming,"oct 06, 2022",luis alberto quispe aparicio,bonhams los angeles,animalia,silvered bronze,26 x 17 x 14in (66 x 43.2 x 35.6cm),15000.0,upcoming
33,500 - 700 eur,upcoming,"oct 04, 2022",gaston simoes de fonseca,de veres art auctions,irish art,oil on panel,"12 x 22cm, 12 x 22cm, 4 3/4"" x 8 3 4 3/4""...",679.0,upcoming
34,100 eur,upcoming,"oct 01, 2022",eugen gomringer,leipzig auction house,auction 1,serigraph,46 x 35 cm,97.0,upcoming
35,400 - 600 usd,upcoming,"oct 01, 2022",seymour-etienne bottex,alex cooper auctioneers,"paintings, furniture, decorative arts, & fine rugs",oil on canvas,20 x 24 in,600.0,upcoming
36,600 - 800 usd,upcoming,"oct 01, 2022",jorge herrera,simpson galleries,fine art & antiques,oil on canvas,66.2 x 59.7 4'' x 57,800.0,upcoming
37,200 - 400 usd,upcoming,"oct 01, 2022",erica bohm,simpson galleries,fine art & antiques,photographs mounted on plexiglass,4'' x 12 1 4'' x 11 3,400.0,upcoming
38,300 - 500 usd,upcoming,"oct 01, 2022",elena cusi-wortham,simpson galleries,fine art & antiques,black painted wood,"height: 76"" width: 14"" depth: 22""",500.0,upcoming
39,50 - 100 gbp,upcoming,"oct 01, 2022",david carson shaw,david duggleby ltd,affordable art,acrylic on board,12cm x 40cm,108.0,upcoming
40,300 - 500 usd,upcoming,"oct 01, 2022",jesus ortiz tajonar,simpson galleries,fine art & antiques,oil on canvas,4'' x 25 1 2'' x 28 1,500.0,upcoming
41,"2,000 - 4,000 usd",upcoming,"oct 01, 2022",francisco zuniga,simpson galleries,fine art & antiques,watercolor on paper,"25 1/2"" x 19 1/2"", framed 31 1/2"" x 26""",4000.0,upcoming
42,300 - 500 usd,upcoming,"oct 01, 2022",sergio bustamante,simpson galleries,fine art & antiques,brass plates,"ht "" height width: 19 depth: 33",500.0,upcoming
43,400 - 600 usd,upcoming,"oct 01, 2022",wifredo lam,simpson galleries,fine art & antiques,etching and aquatint printed in colors,plate 13'' x 15 1 4'' x 26,600.0,upcoming
44,300 - 500 usd,upcoming,"oct 01, 2022",gustavo arias murueta,simpson galleries,fine art & antiques,oil on artist's board,"15a x 17a, framed 28a x 30a",500.0,upcoming
45,400 - 600 usd,upcoming,"oct 01, 2022",alberoi bazile,alex cooper auctioneers,"paintings, furniture, decorative arts, & fine rugs",oil on board,"16 x 24 in66""",600.0,upcoming
46,40 - 60 usd,upcoming,"oct 01, 2022",jose pinal,casco bay auctions,twentieth century art & design,carved mahogany,"height 6 inches,",60.0,upcoming
47,40 - 60 gbp,upcoming,"oct 01, 2022",david carson shaw,david duggleby ltd,affordable art,acrylic on board,7cm x 7cm,64.80000000000001,upcoming
48,300 - 500 usd,upcoming,"oct 01, 2022",byron galvez,simpson galleries,fine art & antiques,ink on paper,"13 '' x 8 '', framed 21 '' x 16",500.0,upcoming
49,400 - 600 usd,upcoming,"oct 01, 2022",francisco toledo,simpson galleries,fine art & antiques,etching on paper,4'' x 10 3 framed 16'' x 18,600.0,upcoming
50,"800 - 1,200 usd",upcoming,"oct 01, 2022",jose antonio gurtubay,simpson galleries,fine art & antiques,patinated bronze,height width: 23 depth: 13,1200.0,upcoming
51,100 - 150 gbp,upcoming,"oct 01, 2022",ramon torres mendez,the canterbury auction galleries,day one - two day fine art & antique sale,coloured lithographs,each 10 in x 13.5 in,162.0,upcoming
52,100 - 150 gbp,upcoming,"oct 01, 2022",ramon torres mendez,the canterbury auction galleries,day one - two day fine art & antique sale,coloured lithographs,each 9.5 in x 11.5 in,162.0,upcoming
53,"1,000 - 2,000 usd",upcoming,"oct 01, 2022",geraldo de barros,simpson galleries,fine art & antiques,"gelatin silver print, printed in",each 12'' x 15 3 4'' x 19 1,2000.0,upcoming
54,"2,000 - 3,000 usd",upcoming,"oct 01, 2022",francisco zuniga,simpson galleries,fine art & antiques,crayon and watercolor on paper,"19"" x 25"", framed 20 "" x 26""",3000.0,upcoming
55,"700 - 1,000 usd",upcoming,"oct 01, 2022",leonardo nierman,simpson galleries,fine art & antiques,acrylic on artist's board,"4'' x 23'', framed 21'' x 28",1000.0,upcoming
56,600 - 900 usd,upcoming,"oct 01, 2022",clarita brinkerhoff,simpson galleries,fine art & antiques,metal on a green crystal,"height: 22"" diameter: 9"" 3,187",900.0,upcoming
57,200 - 400 usd,upcoming,"oct 01, 2022",mario villa,simpson galleries,fine art & antiques,carved earthenware,"diameter: 11 """,400.0,upcoming
58,600 - 800 usd,upcoming,"oct 01, 2022",clarita brinkerhoff,simpson galleries,fine art & antiques,metal on a green crystal,"height: 19"" width: 23"" 9,622 depth: 4""",800.0,upcoming
59,100 - 150 gbp,upcoming,"oct 01, 2022",ramon torres mendez,the canterbury auction galleries,day one - two day fine art & antique sale,coloured lithographs,each 9.5 in x 11.5 in,162.0,upcoming
60,600 - 800 usd,upcoming,"oct 01, 2022",jose maria mijares,alex cooper auctioneers,"paintings, furniture, decorative arts, & fine rugs",acrylic on canvas,"48 x 36 in1972""",800.0,upcoming
61,200 - 400 usd,upcoming,"oct 01, 2022",ariane chantome,simpson galleries,fine art & antiques,acrylic on canvas,23 '' x 39,400.0,upcoming
62,300 - 500 usd,upcoming,"oct 01, 2022",rafael bonilla,simpson galleries,fine art & antiques,artist's board,framed 31'' x 19,500.0,upcoming
63,300 - 500 usd,upcoming,"oct 01, 2022",rafael bonilla,simpson galleries,fine art & antiques,artist's board,framed 33'' x 21 1,500.0,upcoming
64,600 - 800 usd,upcoming,"oct 01, 2022",sergio bustamante,simpson galleries,fine art & antiques,hand painted ceramic,"height: 10"" width: 10"" depth: 6""",800.0,upcoming
65,50 - 100 gbp,upcoming,"oct 01, 2022",david carson shaw,david duggleby ltd,affordable art,acrylic on canvas,15cm x 30cm,108.0,upcoming
66,50 - 100 gbp,upcoming,"oct 01, 2022",david carson shaw,david duggleby ltd,affordable art,acrylic on canvas,19cm x 24cm,108.0,upcoming
67,20 - 30 eur,upcoming,"sep 30, 2022",horacio sapere,"il ponte auction house, via pitteri","#fastauction of prints, multiples and modern art - session 2",color lithograph,cm 60x44,29.099999999999998,upcoming
68,100 - 120 eur,upcoming,"sep 30, 2022",gina pellon,"il ponte auction house, via pitteri","#fastauction of prints, multiples and modern art - session 2",pastel on paper applied on canvas,cm 66x50,116.39999999999999,upcoming
69,100 - 120 eur,upcoming,"sep 30, 2022",humberto castro,"il ponte auction house, via pitteri","#fastauction of prints, multiples and modern art - session 2",ink on paper,cm 55x73,116.39999999999999,upcoming
70,300 - 400 eur,upcoming,"sep 30, 2022",antonia eiriz vazquez,"il ponte auction house, via pitteri","#fastauction of prints, multiples and modern art - session 2",mixed media on paper,cm 57x45,388.0,upcoming
71,220 - 250 eur,upcoming,"sep 30, 2022",pedro pablo oliva,"il ponte auction house, via pitteri","#fastauction of prints, multiples and modern art - session 2",mixed techniques on paper,ciascuna cm 25x17,242.5,upcoming
72,"25,000 - 35,000 usd",upcoming,"sep 30, 2022",pedro figari,christie's new york,latin american art,oil on board,ht 9 3/4 x 24 3/4 in. (25 x 63 cm.),35000.0,upcoming
73,"40,000 - 60,000 usd",upcoming,"sep 30, 2022",wifredo lam,christie's new york,latin american art,gouache and wax crayon on paper laid down on paper,ht 12 x 9 1/2 in. (30.4 x 24 cm.),60000.0,upcoming
74,"400,000 - 600,000 usd",upcoming,"sep 30, 2022",wifredo lam,christie's new york,latin american art,oil on paper laid on canvas,ht 44 1/8 x 31 7/8 in. (112 x 81 cm.),600000.0,upcoming
75,"40,000 - 60,000 usd",upcoming,"sep 30, 2022",francisco narvaez,christie's new york,latin american art,bronze,height: 61 in. 39 in. (99.1 cm.)depth154...,60000.0,upcoming
76,"40,000 - 60,000 usd",upcoming,"sep 30, 2022",miguel covarrubias,christie's new york,latin american art,watercolor and pencil on paper,ht 13 1/2 x 11 1/2 in. (34.2 x 29.2 cm.),60000.0,upcoming
77,"150,000 - 200,000 usd",upcoming,"sep 30, 2022",rufino tamayo,christie's new york,latin american art,"epoxy, pigment and marble dust on steel","height: 83 in. 18 in. (45.7 cm.)depth90, 3...",200000.0,upcoming
78,"30,000 - 50,000 usd",upcoming,"sep 30, 2022",sarah grilo,christie's new york,latin american art,oil on canvas,ht 31 1/2 x 31 1/2 in. (80 x 80 cm.),50000.0,upcoming
79,"40,000 - 60,000 usd",upcoming,"sep 30, 2022",fernando de szyszlo,christie's new york,latin american art,acrylic on canvas,58 1/4 x 46 1/2 in. (148 x 118.1 cm.),60000.0,upcoming
80,"250,000 - 350,000 usd",upcoming,"sep 30, 2022",fernando botero,christie's new york,latin american art,bronze,height: 28 in. 20 in. (50.8 cm.)depth71.1...,350000.0,upcoming
81,"20,000 - 30,000 usd",upcoming,"sep 30, 2022",raimundo de oliveira,christie's new york,latin american art,oil on canvas,ht 36 3/4 x 50 in. (93.4 x 127 cm.),30000.0,upcoming
82,"150,000 - 250,000 usd",upcoming,"sep 30, 2022",hector hyppolite,christie's new york,latin american art,oil on board laid on board,ht 30 x 24 in. (76.2 x 61 cm.),250000.0,upcoming
83,"80,000 - 120,000 usd",upcoming,"sep 30, 2022",roberto fabelo,christie's new york,latin american art,oil on aluminum,diameter: 27 in. (69 cm)height: 9 3/4 in. ...,120000.0,upcoming
84,"40,000 - 60,000 usd",upcoming,"sep 30, 2022",kcho,christie's new york,latin american art,"painted wood, cloth, string, metal, lamps, and electrical cable",height: 153 in. 147 in. (373.4 cm.)depth388.6...,60000.0,upcoming
85,"100,000 - 150,000 usd",upcoming,"sep 30, 2022",olga de amaral,christie's new york,latin american art,"linen, gesso, acrylic, gold and silver leaf","43 1/2 x 39 in. (110.5 x 99.1 cm.) 32, 2003, 1074",150000.0,upcoming
86,"50,000 - 70,000 usd",upcoming,"sep 30, 2022",carlos cruz-diez,christie's new york,latin american art,"chromography on aluminum, plastic inserts",24 x 24 x 1 3/4 in. (60 x 60 x 4.5 cm.),70000.0,upcoming
87,"350,000 - 450,000 usd",upcoming,"sep 30, 2022",fernando botero,christie's new york,latin american art,oil on canvas,ht 55 x 70 1/2 in. (139.7 x 179.1 cm.),450000.0,upcoming
88,"40,000 - 60,000 usd",upcoming,"sep 30, 2022",benito quinquela martin,christie's new york,latin american art,oil on canvas,ht 23 1/2 x 31 1/2 in. (60 x 80 cm.),60000.0,upcoming
89,"200,000 - 300,000 usd",upcoming,"sep 30, 2022",wifredo lam,christie's new york,latin american art,gouache on paper mounted on canvas,42 x 31 3/8 in. (107 x 79 cm.),300000.0,upcoming
90,"400,000 - 600,000 usd",upcoming,"sep 30, 2022",francisco toledo,christie's new york,latin american art,oil and sand on canvas,81 1/8 x 59 in. (206 x 150 cm.),600000.0,upcoming
91,"500,000 - 700,000 usd",upcoming,"sep 30, 2022",rufino tamayo,christie's new york,latin american art,oil on canvas,ht 51 1/4 x 38 1/4 in. (130 x 97 cm.),700000.0,upcoming
92,"80,000 - 120,000 usd",upcoming,"sep 30, 2022",ricardo martinez de hoyos,christie's new york,latin american art,oil on canvas,ht 23 3/4 x 63 in. (60 x 160 cm.),120000.0,upcoming
93,"250,000 - 350,000 usd",upcoming,"sep 30, 2022",fernando botero,christie's new york,latin american art,sanguine and charcoal on canvas,ht 51 1/2 x 39 3/4 in. (130 x 99 cm.),350000.0,upcoming
94,"70,000 - 90,000 usd",upcoming,"sep 30, 2022",julio galan,christie's new york,latin american art,"oil, pencil, and collage elements (beaded necklace, three broaches, and satin ribbon) on canvas",ht 90 1/2 x 70 5/8 in. (230 x 179.4 cm.),90000.0,upcoming
95,"40,000 - 60,000 usd",upcoming,"sep 30, 2022",olga albizu,christie's new york,latin american art,oil on canvas,45 1/2 x 35 in. (116 x 89 cm.),60000.0,upcoming
96,"40,000 - 60,000 usd",upcoming,"sep 30, 2022",manuel mendive,christie's new york,latin american art,"acrylic on wood, metal, and cowrie shells",height: 56 in. 59 3/4 in. (151.8 cm.)depth142...,60000.0,upcoming
97,"120,000 - 180,000 usd",upcoming,"sep 30, 2022",tomas sanchez,christie's new york,latin american art,acrylic on canvas,43 1/4 x 59 in. (109.9 x 149.9 cm.),180000.0,upcoming
98,"80,000 - 120,000 usd",upcoming,"sep 30, 2022",cildo meireles,christie's new york,latin american art,acrylic on carpenter rulers laid on masonite,21 1/4 x 14 3/4 in. (54 x 37.5 cm.),120000.0,upcoming
99,"120,000 - 180,000 usd",upcoming,"sep 30, 2022",helio oiticica,christie's new york,latin american art,gouache on paper,17 3/4 x 21 1/8 in. (45.1 x 53.8 cm.),180000.0,upcoming
100,"30,000 - 40,000 usd",upcoming,"sep 30, 2022",rogelio polesello,christie's new york,latin american art,carved acrylic,height: 86 1/4 in. 41 1/4 in. (104.8 cm...,40000.0,upcoming
101,200 - 300 eur,upcoming,"sep 30, 2022",roberto fabelo,"il ponte auction house, via pitteri","#fastauction of prints, multiples and modern art - session 2",pastel on paper,cm 65x49,291.0,upcoming
102,60 - 80 eur,upcoming,"sep 30, 2022",silvio benedetto,"il ponte auction house, via pitteri","#fastauction of prints, multiples and modern art - session 3",mixed media on paper,cm 35x50,77.6,upcoming
103,330 - 350 eur,upcoming,"sep 30, 2022",kcho,"il ponte auction house, via pitteri","#fastauction of prints, multiples and modern art - session 3",oil pastel on paper on cardboard,"cm 47,5x33",339.5,upcoming
104,"200,000 - 300,000 usd",upcoming,"sep 30, 2022",joaquin torres garcia,christie's new york,latin american art,oil on cardboard,ht 18 1/2 x 25 in. (47 x 63.5 cm.),300000.0,upcoming
105,"60,000 - 80,000 usd",upcoming,"sep 30, 2022",rufino tamayo,christie's new york,latin american art,gouache on paper,13 1/2 x 19 1/2 in. (34.2 x 50 cm.),80000.0,upcoming
106,"40,000 - 60,000 usd",upcoming,"sep 30, 2022",francisco zuniga,christie's new york,latin american art,black mexican marble,height:15 in. 20 1/2 in. (52 cm)depth38.1 cm...,60000.0,upcoming
107,"60,000 - 80,000 usd",upcoming,"sep 30, 2022",joaquin torres garcia,christie's new york,latin american art,oil on board,15 1/4 x 16 1/2 in. (38.7 x 41.9 cm.),80000.0,upcoming
108,"40,000 - 60,000 usd",upcoming,"sep 30, 2022",pedro figari,christie's new york,latin american art,oil on board,ht 20 3/4 x 26 3/4 in. (53 x 68 cm.),60000.0,upcoming
109,"40,000 - 60,000 usd",upcoming,"sep 30, 2022",francisco matto,christie's new york,latin american art,oil on board,ht 39 3/4 x 34 in. (101 x 86 cm.),60000.0,upcoming
110,"80,000 - 120,000 usd",upcoming,"sep 30, 2022",gonzalo fonseca,christie's new york,latin american art,rose marble,height: 22 3/8 in. 26 in. (66 cm.)depth57 cm...,120000.0,upcoming
111,"150,000 - 200,000 usd",upcoming,"sep 30, 2022",tomas sanchez,christie's new york,latin american art,oil on canvas,59 1/2 x 78 3/4 in. (151 x 200 cm.),200000.0,upcoming
112,"80,000 - 120,000 usd",upcoming,"sep 30, 2022",jean leon palliere grandjean ferreira,christie's new york,latin american art,oil on canvas,ht 40 x 55 in. (102 x 140 cm.),120000.0,upcoming
113,"30,000 - 40,000 usd",upcoming,"sep 30, 2022",nahui ollin,christie's new york,latin american art,oil and atl-colors on cardboard,19 x 14 3/4 in. (48.2 x 37.4 cm.),40000.0,upcoming
114,"40,000 - 60,000 usd",upcoming,"sep 30, 2022",ricardo martinez de hoyos,christie's new york,latin american art,oil on canvas,59 x 36 in. (150 x 91.4 cm.),60000.0,upcoming
115,"1,500,000 - 2,000,000 usd",upcoming,"sep 30, 2022",rufino tamayo,christie's new york,latin american art,oil and sand on canvas,ht 70 7/8 x 49 1/4 in. (180 x 125 cm.),2000000.0,upcoming
116,"60,000 - 80,000 usd",upcoming,"sep 30, 2022",ana mercedes hoyos,christie's new york,latin american art,oil on canvas,59 x 59 in. (149.8 x 149.8 cm.),80000.0,upcoming
117,"180,000 - 220,000 usd",upcoming,"sep 30, 2022",pablo atchugarry,christie's new york,latin american art,pink portuguese marble on granite base,height: 82 in. 16 in. (40.6 cm.)depth208.3 cm...,220000.0,upcoming
118,"250,000 - 350,000 usd",upcoming,"sep 30, 2022",jorge de la vega,christie's new york,latin american art,acrylic on canvas,: 39 1/2 x 39 1/2 in. (100 x 100 cm...,350000.0,upcoming
119,"80,000 - 120,000 usd",upcoming,"sep 30, 2022",pablo atchugarry,christie's new york,latin american art,pink portuguese marble on granite base,height: 54 in. 15 3/4 in. (40 cm.)depth138 cm...,120000.0,upcoming
120,"300,000 - 400,000 usd",upcoming,"sep 30, 2022",fernando botero,christie's new york,latin american art,oil on canvas,30 x 24 1/2 in. (76 x 62 cm.),400000.0,upcoming
121,"40,000 - 60,000 usd",upcoming,"sep 30, 2022",kazuya sakai,christie's new york,latin american art,acrylic on shaped canvas,height: 63 in. ht length tall 307 in....,60000.0,upcoming
122,100 - 120 eur,upcoming,"sep 30, 2022",gina pellon,"il ponte auction house, via pitteri","#fastauction of prints, multiples and modern art - session 2",ink on paper,"cm 56x37,5",116.39999999999999,upcoming
123,150 - 200 eur,upcoming,"sep 30, 2022",horacio sapere,"il ponte auction house, via pitteri","#fastauction of prints, multiples and modern art - session 2",mixed media on canvas,cm 195x165,194.0,upcoming
124,220 - 250 eur,upcoming,"sep 30, 2022",pedro pablo oliva,"il ponte auction house, via pitteri","#fastauction of prints, multiples and modern art - session 2",watercolor on paper,"cm 34x27,5",242.5,upcoming
125,"600,000 - 800,000 usd",upcoming,"sep 30, 2022",rufino tamayo,christie's new york,latin american art,oil on canvas,"ht 31 7/8 x 39 1/8 in. (80.9 x 99.4 cm.) 59""",800000.0,upcoming
126,"80,000 - 120,000 usd",upcoming,"sep 30, 2022",pedro coronel,christie's new york,latin american art,oil on canvas,31 1/2 x 47 1/2 in. (80 x 120.7 cm.),120000.0,upcoming
127,"200,000 - 300,000 usd",upcoming,"sep 30, 2022",gunther gerzso,christie's new york,latin american art,oil on masonite,ht 21 x 29 in. (53 x 74 cm.),300000.0,upcoming
128,"70,000 - 90,000 usd",upcoming,"sep 30, 2022",rufino tamayo,christie's new york,latin american art,oil on sand and wood,ht 15 x 9 3/4 in. (38.1 x 25 cm.),90000.0,upcoming
129,"600,000 - 800,000 usd",upcoming,"sep 30, 2022",diego rivera,christie's new york,latin american art,tempera on gessoed linen,31 1/2 x 23 1/4 in. (80 x 59 cm.),800000.0,upcoming
130,"700,000 - 900,000 usd",upcoming,"sep 30, 2022",rufino tamayo,christie's new york,latin american art,oil on canvas,ht 48 x 35 3/4 in. (122 x 91 cm.),900000.0,upcoming
131,"40,000 - 60,000 usd",upcoming,"sep 30, 2022",julio alpuy,christie's new york,latin american art,painted wood,30 x 18 x 2 3/8 in. (76.2 x 46 x 6 cm.),60000.0,upcoming
132,"60,000 - 80,000 usd",upcoming,"sep 30, 2022",alejandro xul solar,christie's new york,latin american art,crayon and graphite on paper,ht 13 1/4 x 10 1/2 in. (34 x 27 cm.),80000.0,upcoming
133,"250,000 - 350,000 usd",upcoming,"sep 30, 2022",roberto matta,christie's new york,latin american art,oil on canvas,12 x 16 1/4 in. (30.4 x 41.2 cm.),350000.0,upcoming
134,"150,000 - 200,000 usd",upcoming,"sep 30, 2022",roberto matta,christie's new york,latin american art,oil on canvas,20 x 27 1/2 in. (51 x 70 cm.),200000.0,upcoming
135,"60,000 - 80,000 usd",upcoming,"sep 30, 2022",rodolfo nieto,christie's new york,latin american art,oil on canvas,39 1/2 x 32 in. (100 x 81.2 cm.),80000.0,upcoming
136,"20,000 - 25,000 usd",upcoming,"sep 30, 2022",belkis ayon,christie's new york,latin american art,collograph on paper,ht 35 x 28 in. (89 x 71 cm.),25000.0,upcoming
137,"180,000 - 220,000 usd",upcoming,"sep 30, 2022",yoan capote,christie's new york,latin american art,"oil, nails, fish hooks, and artist's blood on plywood",ht ht 48 x 95 7/8 in. (121.9 x 243.5 cm...,220000.0,upcoming
138,"280,000 - 320,000 usd",upcoming,"sep 30, 2022",fernando botero,christie's new york,latin american art,bronze,height: 28 1/2 in. 14 in. (35.6 cm...,320000.0,upcoming
139,"80,000 - 120,000 usd",upcoming,"sep 30, 2022",los carpinteros,christie's new york,latin american art,"wood, marble, metal and oil on canvas laid on wood",height: 101 in. width: 69 in.(175.3 cm...,120000.0,upcoming
140,"200,000 - 300,000 usd",upcoming,"sep 30, 2022",fernando botero,christie's new york,latin american art,oil on canvas,"ht 34 1/4 x 36 in. (87 x 92 cm.) 2, 69",300000.0,upcoming
141,60 - 80 eur,upcoming,"sep 30, 2022",silvio benedetto,"il ponte auction house, via pitteri","#fastauction of prints, multiples and modern art - session 2",oil on canvas,cm 60x30,77.6,upcoming
142,120 - 150 eur,upcoming,"sep 30, 2022",silvio benedetto,"il ponte auction house, via pitteri","#fastauction of prints, multiples and modern art - session 2",oil on canvas,"misure tot, cm 60x85",145.5,upcoming
143,180 - 200 eur,upcoming,"sep 30, 2022",pedro pablo oliva,"il ponte auction house, via pitteri","#fastauction of prints, multiples and modern art - session 2",mixed media on paper,cm 28x20,194.0,upcoming
144,100 - 120 eur,upcoming,"sep 30, 2022",humberto castro,"il ponte auction house, via pitteri","#fastauction of prints, multiples and modern art - session 2",ink on paper,"cm 56x74,5",116.39999999999999,upcoming
145,"60,000 - 80,000 usd",upcoming,"sep 30, 2022",nicolas garcia uriburu,christie's new york,latin american art,acrylic on canvas,ht 71 x 79 in. (180 x 201 cm.),80000.0,upcoming
146,"450,000 - 650,000 usd",upcoming,"sep 30, 2022",gunther gerzso,christie's new york,latin american art,oil on canvas,ht 39 1/2 x 31 1/2 in. (100 x 81 cm.),650000.0,upcoming
147,"40,000 - 60,000 usd",upcoming,"sep 30, 2022",pablo atchugarry,christie's new york,latin american art,white carrara marble on granite,height: 30 in. 15 in. (38 cm.)depth76 cm.9 in...,60000.0,upcoming
148,"40,000 - 60,000 usd",upcoming,"sep 30, 2022",gonzalo fonseca,christie's new york,latin american art,"painted, incised cement relief",25 1/4 x 32 3/4 x 2 1/8 in. (64 x 83 x 5.4 cm.),60000.0,upcoming
