artista,nombre_obra,tecnica,anio,precio,altura,ancho,source
Francisco J. Tejeda Jaramillo,Bici-Filia,Tinta Sobre Lienzo,2021,51100,122,122,madart
Francisco J. Tejeda Jaramillo,Mi Madre Da-Da,Tinta Sobre Lienzo,2021,51100,81,81,madart
Giselle Fenig,Iluminados,Mixta sobre Tela,2021,56900,110,150,madart
Jazzamoart,Monk Coltrane En NY,Óleo sobre Tela,2021,9000,75,100,madart
Giselle Fenig,Se Asoma Mi Luz,Mixta sobre Tela,2021,60400,130,135,madart
Emmanuel Serrano,Respiro y Encuentro,Mixta sobre Tela,2021,33400,120,120,madart
Mirra,Lancero,Óleo sobre Madera,2021,7000,25,25,madart
Mirra,Caballero Ante El Espejo,Óleo sobre Madera,2021,7000,25,25,madart
Mirra,Triste Caminante,Óleo sobre Madera,2021,8700,35,35,madart
Mirra,Caballero Entre Luces Y Sombras,Óleo sobre Madera,2021,8700,35,35,madart
Mirra,Ser o No Ser En La Mancha,Óleo sobre Madera,2021,7000,25,25,madart
Mirra,Hidalgo En Los Campos,Óleo sobre Madera,2021,7000,25,25,madart
Mirra,Viejo Molino,Óleo sobre Madera,2021,7000,25,25,madart
Mirra,A La Carga,Óleo sobre Madera,2021,7000,25,25,madart
David Gutiérrez,Tierra De Conejos,Mixta sobre Tela,2021,53400,100,125,madart
Alain Bailleres,Música Celestial,Mixta sobre Tela,2019,34800,100,100,madart
Karla Reyes,Guardianes del Banyan,Mixta sobre Tela,2021,47600,110,140,madart
Jose Antonio Gurtubay,Con Amigos Siempre Es Mejor,Mixta sobre Tela,2021,76600,100,120,madart
Carlos Vivar,Torero Cuernos,Mixta sobre Tela,2021,11600,30,30,madart
Carlos Vivar,Zapatero,Mixta sobre Tela,2021,11600,30,30,madart
Carlos Vivar,Patinadora,Mixta sobre Tela,2021,11600,30,30,madart
Carlos Vivar,Tenista,Mixta sobre Tela,2021,11600,30,30,madart
Carlos Vivar,Baterista II,Mixta sobre Tela,2021,11600,30,30,madart
Carlos Vivar,Nadador,Mixta sobre Tela,2021,11600,30,30,madart
Carlos Vivar,"""Chelo"" Violín",Mixta sobre Tela,2021,11600,30,30,madart
Carlos Vivar,Malabarista,Mixta sobre Tela,2021,11600,30,30,madart
Carlos Vivar,Baterista I,Mixta sobre Tela,2021,11600,30,30,madart
Carlos Vivar,Triatleta,Mixta sobre Tela,2021,11600,30,30,madart
Jose Antonio Gurtubay,Divirtiéndonos En El Viaje,Mixta sobre Tela,2021,76600,100,120,madart
Renata Alarcón,Estructura del Color IX,Latón sobre Lino,2021,6000,30,30,madart
Álvaro,Estudio II (Serie de Serpentinas),Serpentinas sobre tela,2017,40600,150,150,madart
Lydia Hierro,Amigas Charlando,Encausto sobre Tela,2021,8000,30,25,madart
Lydia Hierro,Compadres,Encausto sobre Tela,2021,8000,30,25,madart
Lydia Hierro,Festejo,Encausto sobre Tela,2021,8400,30,30,madart
Lydia Hierro,Gato En Rojo,Encausto sobre Tela,2021,8400,30,30,madart
Lydia Hierro,Observación,Encausto sobre Tela,2021,8400,30,30,madart
Lydia Hierro,Encrucijada,Encausto sobre Tela,2021,8400,30,30,madart
Marco Antonio Cruz,Sin Título,Óleo y Hoja de Plata Falsa sobre madera,2021,41800,122,122,madart
Eddy Vaskez,La Fiesta,Óleo sobre Tela,2021,64400,50,30,madart
Eddy Vaskez,El Baile De Los Zancudos,Óleo sobre Tela,2021,68700,80,200,madart
Eddy Vaskez,Desde Arriba,Óleo sobre Tela,2021,51500,80,150,madart
Eddy Vaskez,Sin Título,Óleo sobre Tela,2021,155000,190,190,madart
Eddy Vaskez,Malabares en Verde,Óleo sobre Tela,2021,77300,120,150,madart
Oswaldo Ramírez,Picnic,Mixta sobre Tela,2021,215600,140,220,madart
Oswaldo Ramírez,Tete & Café,Mixta sobre Tela,2021,121800,145,120,madart
Oswaldo Ramírez,Pleamar,Mixta sobre Tela,2021,179200,160,160,madart
Emmanuel Serrano,Acostado Junto A Ti,Fumage,2021,33400,120,120,madart
Alejandro Baruch,Las Cuatro Lunas De Roceto,Bronce,2021,45300,110,40,madart
Alejandro Baruch,Cuando Las Lunas Le Rondan Versos,Bronce,2021,31400,24,11,madart
Alejandro Baruch,El Primer Sueño,Bronce,2021,31400,33,11,madart
Jazzamoart,Orquesta Afrocubana,Óleo sobre Tela,1999,19000,135,190,madart
Jazzamoart,Cabeza con Música,Óleo sobre Tela,2009,17000,148,148,madart
Lydia Hierro,Serie III,Mixta sobre Tela,2021,24300,100,80,madart
Lydia Hierro,Serie II,Mixta sobre Tela,2021,24300,100,80,madart
Lydia Hierro,Serie I,Mixta sobre Tela,2021,24300,100,80,madart
Margot Acosta,Raíces de Corazón,Mixta sobre Tela,2021,20900,80,60,madart
Manuel Miguel,La Modelo,Mixta sobre Tela,2018,152300,150,250,madart
David Gutiérrez,Esperando La Lluvia de Estrellas,Mixta sobre Tela,2021,40600,90,120,madart
David Gutiérrez,Tierra de Lunas,Mixta sobre Tela,2021,52200,100,130,madart
Jose Antonio Gurtubay,Mi Pasión,Bronce,2021,51000,18.5,37,madart
Alberto Spinetti,Caballos Poéticos 56 cm,Bronce,2021,11000,56,0,madart
Alberto Spinetti,Caballos Poéticos 68 cm,Bronce,2021,13000,68,0,madart
Arturo Mendoza Elfeo,Pedazos,Mixta sobre Tela,2021,32500,60,81,madart
Marco Antonio Cruz,Sin Título,Mixta sobre Tela,2021,3500,30,30,madart
Marco Antonio Cruz,Sin Título,Mixta sobre Tela,2021,3500,30,30,madart
Marco Antonio Cruz,Sin Título,Mixta sobre Tela,2021,3500,30,30,madart
Leonardo Salinas,Carreta de Mezcal,Mixta sobre Tela,2021,93900,200,150,madart
Marco Antonio Cruz,Retrato,Óleo sobre Lienzo,2021,39500,124.5,104.5,madart
Marco Antonio Cruz,Sin Título,Óleo sobre Lienzo,2021,47600,105,145,madart
Rodrigo Cacho,Grazing,Mixta sobre Tela,2021,30000,100,70,madart
Prince Láuder,Superficies II,Inyección de Tintas sobre Papel,2019,8000,40,40,madart
Prince Láuder,Superficies I,Inyección de Tintas sobre Papel,2019,8000,40,40,madart
Prince Láuder,Travel Junkie,Inyección de Tintas sobre Papel,2018,8000,40,40,madart
Renata Alarcón,Estructura del Color IV,Latón sobre Lino,2021,6000,30,30,madart
Renata Alarcón,Estructura del Color V,Latón sobre Lino,2021,6000,30,30,madart
Renata Alarcón,Estructura del Color VI,Latón sobre Lino,2021,6000,30,30,madart
Renata Alarcón,Estructura del Color VII,Latón sobre Lino,2021,6000,30,30,madart
Lydia Hierro,Mi Yo,Encausto sobre Tela,2021,12200,50,50,madart
Lydia Hierro,Enjambre,Encausto sobre Tela,2021,49900,110,190,madart
Lydia Hierro,Laberinto 1,Encausto sobre Tela,2021,32250,120,120,madart
Manuel Miguel,"De La Serie ""Pequeños Relámpagos Vivientes""",Bronce,2021,22700,38,28,madart
Renata Alarcón,Estructura del Color I,Latón sobre Lino,2021,7000,40,30,madart
Felipe de Jesus,Ritual,Óleo sobre Tela,2021,81200,120,200,madart
Jennifer Troice,Domingueando,Bronce,2020,20900,32,17,madart
Emmanuel Serrano,Rupestre,Fumage,2021,52200,150,150,madart
Mocka,Purificación del Alma,Mixta sobre Tela,2021,13900,80,50,madart
Max Sanz,Magia de Abundancia,Óleo sobre Tela,2021,18600,50,100,madart
Felipe de Jesus,Paisaje Urbano,Óleo sobre Tela,2021,81200,120,200,madart
Giselle Fenig,"Así, Completa!!",Mixta sobre tela,2021,40600,120,100,madart
Edgar Jahir Trujillo,Recovecos,Mixta sobre Papel,2021,5800,20,20,madart
Edgar Jahir Trujillo,Mirada,Mixta sobre Papel,2021,5800,20,20,madart
Ricardo Olivares,Monociclo y Arlequín,Bronce,2021,51000,55,20,madart
Marco Antonio Cruz,Sin Título,Mixta sobre Tela,2021,16300,86,66,madart
Marco Antonio Cruz,Sin Título,Mixta sobre Tela,2021,16300,66,86,madart
Max Sanz,La Siempre Viva,Óleo sobre Tela,2021,22000,100,50,madart
Lydia Hierro,Gato Juguetón,Encausto sobre Tela,2021,33600,130,130,madart
Arturo Mendoza Elfeo,Enredos,Mixta sobre Tela,2021,60300,122,92,madart
Emmanuel Serrano,Complejo,Fumage,2021,52200,150,150,madart
Rodrigo Cacho,Standing Man,Mixta sobre Panel,2021,7000,30,30,madart
Mocka,Ascender,Mixta sobre Tela,2021,28200,90,90,madart
Samuel Rojas,Grafías Sobre El Vórtice N. 1,Óleo sobre Tela,2021,52200,100,100,madart
Emmanuel Serrano,Gorgona,Fumage,2021,33400,120,120,madart
Emmanuel Serrano,Corazones Vacíos,Mixta (Collage),2021,33400,120,120,madart
Emmanuel Serrano,Siete Veces Siete,Mixta (Collage),2021,33400,120,120,madart
Edison Blas,Poesía Azul,Mixta sobre Tela,2021,17400,100,60,madart
David Gutiérrez,Demonio Azul,Mixta sobre Madera,2020,16300,50,50,madart
Alberto Spinetti,Caballos Poéticos 50 cm,Bronce,2021,11000,50,0,madart
Miki,Bule Bule,Bronce,2020,134400,49,43,madart
Miki,8x8,Bronce,,123800,28,65,madart
Miki,Cúcara Mácara,Bronce,2019,136800,54,64,madart
Manuel Miguel,"De la Serie ""La Granja Oaxaqueña""",Mixta sobre Tela,2021,37200,100,80,madart
Mocka,Oratoria del Color,Mixta sobre Tela,2021,33500,80,120,madart
Carlos Vivar,Stair Way To Heaven,Zincografía,2020,17400,70,90,madart
Carlos Vivar,Stair Way To Heaven,Zincografía,2020,17400,70,90,madart
Tamés,Deshilachados,Mixta sobre Tela,2019,3500,25,30,madart
Tamés,Deshilachados,Mixta sobre Tela,2019,3500,27,22,madart
Yuri Zatarain,Historia de Amor,Mixta sobre Tela,2019,220000,190,220,madart
Marco Antonio Cruz,Sin Título 1,Mixta sobre Papel,2019,5800,40,30,madart
Ramón Valdés Elizondo,Amigo de Muchas Vidas,Mixta sobre Tela,2019,25500,50,60,madart
Carhum,Capricho,Mixta sobre Tela,2021,61500,180,140,madart
David Gutiérrez,El Circo Rojo,Óleo y Arenas Sobre Tela,2020,18600,60,70,madart
Noé Diaz,Mundo Azul,Óleo sobre Tela,2019,34800,100,75,madart
David Gutiérrez,El Llamado,Óleo y Arenas sobre Madera,2020,25500,65,60,madart
David Gutiérrez,Pequeño Circo Luminoso,Mixta sobre Tela,2020,52200,100,145,madart
David Gutiérrez,El Péndulo,Óleo y Arenas Sobre Tela,2021,29000,80,60,madart
David Gutiérrez,Los Astrónomos del Mar,Óleo y Arenas Sobre Tela,2021,58000,160,120,madart
Carhum,Arrinconados,Mixta sobre Tela,2021,62200,150,170,madart
Yuri Zatarain,Absoluto,Mixta sobre Lienzo,2021,112000,109,109,madart
Yuri Zatarain,Absoluto,Mixta sobre Lienzo,2021,92000,90,90,madart
Yuri Zatarain,Absoluto,Mixta sobre Tela,2021,97000,90,100,madart
Yuri Zatarain,Absoluto,Mixta sobre Lienzo,2021,138000,150,120,madart
Yuri Zatarain,Estudio para el Amante,Mixta sobre Lienzo,2020,220000,200,230,madart
Yuri Zatarain,Estudio para el Amante,Mixta sobre Lienzo,2020,174000,180,160,madart
Yuri Zatarain,Estudio para el Amante,Mixta sobre cemento,2020,140000,180,25,madart
Jose Antonio Gurtubay,Estar Contigo,Mixta con polvo de mármol sobre tela,2018,34800,40,50,madart
Jose Antonio Gurtubay,Miran Por las Ventanas,Mixta con polvo de mármol sobre tela,2018,34800,40,50,madart
Edison Blas,El Rojo Esencial Matizador del Rostro,Mixta sobre Tela,2018,8700,50,50,madart
Jose Antonio Gurtubay,Deseándote lo Mejor,Mixta con polvo de mármol,,39500,79,99,madart
Jose Antonio Gurtubay,Caminando Hacia Ti,Mixta con polvo de mármol,,39500,79,99,madart
Jose Antonio Gurtubay,Esperándote,Mixta con polvo de mármol,,39500,79,99,madart
Guillermo Rito,Composición Azul y Dorado,Óleo sobre Tela,2015,15000,50,70,madart
Álvaro,Estudio VII (Serie de Rehiletes),Esmalte sobre Tela,2018,5800,30,30,madart
Álvaro,Estudio IX (Serie de Rehiletes),Esmalte sobre Tela,2018,5800,30,30,madart
Álvaro,Estudio VIII (Serie de Rehiletes),Esmalte sobre Tela,2018,5800,30,30,madart
Pacco Soriano,Sin Título,Tinta China sobre Papel,2019,11600,50,70,madart
Pacco Soriano,Sin Título (tríptico),Mixta sobre Lienzo,2017,26100,50,150,madart
Manuel Miguel,"De La Serie ""Espejismos Cotidianos"" ",Mixta sobre Tela,2019,11600,50,50,madart
Samuel Rojas,Vórtice,Óleo sobre Tela,2021,52200,100,100,madart
Oswaldo Ramírez,Ser Tu Amigo,Óleo sobre Cedro,2021,9000,14,14,madart
Oswaldo Ramírez,Espíritu que Fortalece,Óleo sobre Cedro,2021,9000,14,14,madart
Oswaldo Ramírez,Colisión Ecuestre,"Óleo, Hoja de Plata, Cedro",2021,9000,14,14,madart
Oswaldo Ramírez,Callejero de las Cosas Bellas,Óleo sobre Cedro,2021,9000,14,14,madart
Oswaldo Ramírez,Autorretrato con Máscara de Jade,Óleo sobre Cedro,2021,9000,14,14,madart
Giselle Fenig,Juntas Otra Vez,Mixta sobre Tela,2021,32500,120,80,madart
Samuel Rojas,Sobre El Vórtice 18,Óleo sobre Tela,2019,52200,100,100,madart
Manuel Miguel,"Serie ""Paseos Místicos""",Mixta sobre Tela,2021,37200,100,80,madart
Margot Acosta,Escuchando las Noticias,Mixta ,2017,34800,90,120,madart
Marco Antonio Cruz,Retratos,Mixta sobre Tela,2020,25400,84,104,madart
Lucía Valencia,"Serie Joyas de Nueva York ""Sárdica""",Óleo sobre Tela,2020,60000,62,62,madart
Lucía Valencia,"Serie Joyas de Nueva York ""Crisólito""",Óleo sobre Tela,2020,60000,62,62,madart
Mocka,Serie Insectos Imaginarios,Mixta sobre Papel,2020,13500,70,55,madart
Pacco Soriano,Mozart Seduciendo una Copa de Vino,Óleo sobre Lienzo,2021,55500,145,110,madart
TOGA,Sin Título,Carbón Sobre Papel,2020,5800,35,30,madart
Guillermo Rito,Sin Título,Oleo y Hoja de Oro sobre Tela,2020,56300,120,90,madart
Guillermo Rito,Sin Título,Oleo y Hoja de Oro sobre Tela,2020,56300,120,90,madart
Sebastián Cánovas,Serie de Estudios Urbanos,Mixta sobre Tela,2020,12200,50,50,madart
Sebastián Cánovas,Serie de Estudios Urbanos,Mixta sobre Tela,2020,12200,50,50,madart
Carlos Bazán,Tu y Yo Volando Alto,Mixta sobre Tela,2020,44000,120,100,madart
Carlos Bazán,Sin Título,Mixta sobre Tela,2020,33600,115,80,madart
Giselle Fenig,La Grandiosa,Mixta sobre Tela,2020,55700,150,120,madart
Edgar Jahir Trujillo,La Protección,Mixta sobre Tela,2020,28400,70,100,madart
Giselle Fenig,Dividida,Mixta sobre Tela,2020,51000,135,125,madart
Carhum,Se Colo por Error en un Abstracto,Mixta sobre Tela,2020,46400,100,190,madart
Lydia Hierro,Curvas,Encausto sobre Tela,2020,28000,100,100,madart
Pablo Olivera,Fleco,Terracota,2020,7000,15,14,madart
Pablo Olivera,Cabeza 4,Terracota,2020,5800,15,16,madart
Pablo Olivera,Cabeza 3,Terracota,2020,5800,14,12,madart
Pablo Olivera,Cabeza 2,Terracota,2020,7000,19,14,madart
Pedro Coronel,Piedra Solar,Serigrafía,1970,15660,95,70,madart
Pedro Coronel,Dualidad,Serigrafía,1975,9300,95.5,70.4,madart
Federico Rivero,Anhelo Infantil,Bronce,2020,55700,41,19,madart
Federico Rivero,Creciendo,Bronce,2020,34800,44,15,madart
Federico Rivero,El Juego de la Vida,Bronce,2020,34800,30,34,madart
Jazzamoart,Trío en la Playa,Óleo sobre Tela,2020,15000,120,150,madart
Rosendo Vega,Selva Jade,Óleo sobre Lienzo,2020,63800,165,120,madart
Rodolfo Camacho,Sin Título,Encausto sobre Madera,2020,34800,60,60,madart
Rodolfo Camacho,Sin Título,Encausto sobre Madera,2020,34800,60,60,madart
Sebastián Cánovas,Estudios,Mixta sobre Papel,2020,10500,40,40,madart
Edison Blas,Escena de Circo,Óleo sobre Tela,2020,60300,100,200,madart
Yuri Zatarain,Estudio para el Amante,"Cemento, Mixta",2020,220000,223,90,madart
Yuri Zatarain,Estudio para el Amante,"Cemento, Lapiz",2020,220000,222,120,madart
Yuri Zatarain,Estudio para el Amante,"Cemento, Lapiz",2020,75000,162,45,madart
Yuri Zatarain,Estudio para el Amante,Acrílico y Cemento,2020,220000,200,120,madart
Edgar Jahir Trujillo,Un Nuevo Resplandor,Mixta sobre Tela,2020,101500,100,250,madart
Edgar Jahir Trujillo,Micromundos,Mixta sobre Tela,2020,100500,100,250,madart
Edgar Jahir Trujillo,Infinito,Mixta sobre Tela,2020,48700,200,60,madart
Lydia Hierro,Rayo de Luz,Encausto sobre Tela,2020,33700,130,130,madart
Lydia Hierro,Entre Lineas,Encausto sobre Tela,2020,33700,120,140,madart
Oswaldo Ramírez,Bañistas,Mixta sobre Tela,2020,121800,145,120,madart
Oswaldo Ramírez,Sueño de un Papageno,Mixta sobre Tela,2020,117600,140,120,madart
Oswaldo Ramírez,Canción Mixteca,Mixta sobre Tela,2020,121800,120,145,madart
Oswaldo Ramírez,Un Nuevo Amanecer,Mixta sobre Tela,2020,84000,100,120,madart
Oswaldo Ramírez,Embrujo,Mixta sobre Tela,2020,45400,94,69,madart
Jose Antonio Gurtubay,La Embarazadita,Bronce,2020,300600,140,94,madart
Alain Bailleres,Sandías Menguantes,Mixta sobre Tela,2020,33600,100,100,madart
Rosendo Vega,Aquaria II,Óleo sobre Lienzo,2020,45300,130,100,madart
Rosendo Vega,Aquaria III,Òleo sobre lienzo,2020,45300,130,100,madart
Mocka,Virgen con Mascara,Mixta sobre Papel,2020,12200,70,50,madart
Mocka,Elefante Feliz,Mixta sobre Tela,2020,28200,90,90,madart
Mocka,Tepalpa,Mixta sobre Tela,2020,83500,120,200,madart
Lucía Hernández Bribiesca,"Patria, Patria",Óleo sobre Lienzo,2020,58000,100,150,madart
Pedro Coronel,Los Búhos,Serigrafía,,13300,95.6,70.6,madart
Giselle Fenig,Recolectando Encuentros,Mixta sobre Tela,2020,37100,120,100,madart
Pablo Olivera,Sin Título,Bronce,2020,46400,16,16,madart
Manuel Miguel,"De la Serie ""Tejidos Familiares""",Mixta/Tela,2020,81200,100,200,madart
Manuel Miguel,Gestualidades de los Seres Místicos,Mixta/Tela,2020,40600,100,100,madart
Jose Antonio Gurtubay,Perpetuamente Puro,Mixta sobre Papel,2020,19700,34,24,madart
Jose Antonio Gurtubay,Ya Concluyó,Mixta sobre Papel,2020,19700,34,24,madart
Jose Antonio Gurtubay,Te Espero con Avidez,Mixta sobre Papel,2020,19700,34,24,madart
Jose Antonio Gurtubay,Recorriendo el Bulevar,Mixta sobre Papel,2020,16200,47,37,madart
Jose Antonio Gurtubay,Pensando en Ti,Mixta sobre Papel,2020,13900,40,30,madart
Jose Antonio Gurtubay,Persistentemente Jubiloso,Mixta Sobre Papel,2020,13900,40,30,madart
Giselle Fenig,Rompiendo Reglas,Mixta sobre Tela,2020,44000,120,120,madart
Alain Bailleres,Playa Encantada,Mixta sobre Tela,,54000,100,160,madart
Manuel Miguel,"De La Serie ""Agaves""",Mixta/Tela,,26100,75,75,madart
Giselle Fenig,Caminos Encontrados,Mixta sobre Tela,2018,51000,120,135,madart
Alberto Spinetti,Caballos Poético 32 cm,Bronce,2021,7000,32,17,madart
Mocka,Tenacidad,Mixta Sobre Papel,2020,12300,50,71,madart
Mocka,Día De Nado,Mixta Sobre Papel,2020,13900,97,41,madart
Mocka,La Familia,Mixta sobre Tela,2020,13900,50,80,madart
Manuel Miguel,El Nuevo Integrante,Mixta/Tela,2020,63000,120,150,madart
David Gutiérrez,Los Astrónomos y la Nopalera,Óleo y Arenas Sobre Tela,2020,185000,200,290,madart
David Gutiérrez,Lunas de Comala,Óleo y Arenas Sobre Tela,2020,95000,145,200,madart
Carlos Bazán,Cuidando el Nido,Mixta Sobre Tela,2020,37000,100,100,madart
Leonardo Salinas,Caballo de Sandías,Acrílico y Tintas Sobre Tela,2020,73500,160,170,madart
Yuri Zatarain,Eres tú...,Acero Recubierto de Concreto,2020,220000,250,45,madart
Yuri Zatarain,Eres tú...,Acero Recubierto de Concreto,2020,79000,70,35,madart
Lydia Hierro,Botella en Verdes,Mixta sobre Madera,2020,9100,30,30,madart
Lydia Hierro,Pareja en Rojos,Mixta sobre Madera,2020,26700,80,100,madart
Lydia Hierro,Conexión (Triptico),Mixta sobre Madera,2020,22600,40,100,madart
Lydia Hierro,Ventana de Luz,Mixta sobre Madera,2020,14500,60,60,madart
Ramón Valdés Elizondo,Ojos de Corazón y Sombra,Acrílico sobre Tela,2020,41700,80,60,madart
Ramón Valdés Elizondo,El Guía,Mixta sobre Tela,2020,72000,105,175,madart
Federico Rivero,Libre,Bronce,2020,9300,24,13,madart
Federico Rivero,Pelícano,Bronce,2020,10400,28,16,madart
Leonardo Salinas,El Charro Negro El Catrín,Mixta sobre Tela,2020,62600,100,200,madart
Lydia Hierro,Suspensión,Mixta sobre Madera,2020,14500,60,60,madart
Lydia Hierro,Evaporación,Mixta sobre Madera,2020,14500,60,60,madart
Oswaldo Ramírez,Leche de Cabra,Mixta sobre Tela,2020,10500,40,38,madart
Oswaldo Ramírez,Game Won (Homenaje a George Floyd),Mixta sobre Tela,2020,10500,40,38,madart
Oswaldo Ramírez,EL Guía,Mixta sobre Tela,2020,10500,40,38,madart
Oswaldo Ramírez,Delicada,Mixta sobre Tela,2020,10500,40,38,madart
Oswaldo Ramírez,Cafe Pandémico,Mixta sobre Tela,2020,10500,40,38,madart
Pablo Olivera,Torre,Metal,2020,23200,53,12,madart
Pablo Olivera,Torso,Terracota,2020,34800,44,22,madart
David Gutiérrez,La Fiesta de la Luz,Mixta sobre Tela,2020,46400,100,140,madart
Emmanuel Serrano,Perdido en el Encuentro,Fumage ,2020,55700,150,150,madart
Manuel Miguel,Lazos Eternos,Grabado sobre Papel,2020,8000,60,74,madart
Arturo Mendoza Elfeo,Fuera de Mi,Mixta sobre Tela,2020,116000,183,122,madart
David Gutiérrez,Árbol de los Mares,Mixta sobre Tela,2020,58000,115,120,madart
Yuri Zatarain,Historia de Amor,Mixta sobre Tela,2020,205000,180,200,madart
Giselle Fenig,Enredos,Mixta sobre Tela,2020,32500,100,100,madart
Rodolfo Camacho,Algodón de Azucar,Encausto sobre Madera,2020,233000,160,186,madart
Rodolfo Camacho,Arborescencia,Encausto sobre Madera,2020,245000,200,150,madart
Rodolfo Camacho,Ramas Gemelas,Encausto sobre Madera,2020,328000,205,245,madart
Rodolfo Camacho,Monte Alto,Encausto sobre Madera,2020,295000,200,0,madart
Rodolfo Camacho,Tríptico Azul,Encausto sobre Madera,2020,345000,140,413,madart
Rodolfo Camacho,Jacarandas,Encausto sobre Madera,2020,180000,150,150,madart
Rodolfo Camacho,Queensland II,Encausto sobre Madera,2020,254000,150,230,madart
Federico Rivero,La Silla,Bronce,2020,34800,31,18,madart
Federico Rivero,Satélite del Amor,Bronce,2020,32500,28,12,madart
Lydia Hierro,Toro Rojo,Mixta sobre Tela,2020,14500,60,60,madart
Lydia Hierro,Mi Barrio,Encausto sobre Tela,2020,33700,110,140,madart
Lydia Hierro,Helada,Mixta sobre Tela,2020,14500,60,60,madart
Lydia Hierro,Contenido 3,Mixta sobre Tela,2020,12200,50,50,madart
Luis Sn Carlos,Pellicer Poético,Acrílico sobre Tela,2020,116000,145,145,madart
Federico Rivero,La Bici,Bronce,2020,150800,94,84,madart
Alain Bailleres,The Show Must Go On,Mixta sobre Tela,2020,33600,100,100,madart
Jose Antonio Gurtubay,En Abundancia,Mixta con Polvo de Mármol sobre Tela,2020,34800,50,40,madart
Jose Antonio Gurtubay,El Colmo,Mixta con Polvo de Mármol sobre Tela,2020,16300,30,40,madart
Jose Antonio Gurtubay,Extenuado,Mixta con Polvo de Mármol sobre Tela,2020,34800,50,40,madart
Jose Antonio Gurtubay,Sin Itinerario,Mixta con Polvo de Mármol sobre Tela,2020,16300,40,30,madart
Jose Antonio Gurtubay,En espera,Mixta con Polvo de Mármol sobre Tela,2020,34800,50,40,madart
Jose Antonio Gurtubay,Saliendo del Bosque,Mixta con Polvo de Mármol sobre Tela,2020,41700,50,70,madart
Jose Antonio Gurtubay,Se Derramó,Mixta con Polvo de Mármol sobre Tela,2020,39400,50,60,madart
Jose Antonio Gurtubay,De Madrugada,Mixta con Polvo de Mármol sobre Tela,2020,46400,60,80,madart
José Isidro Vázquez Estupiñan,Pedregal de San Angel II,Óleo sobre Tela,2020,20800,40,80,madart
José Isidro Vázquez Estupiñan,Huixquilucan Geométrico,Óleo sobre Tela,2020,29000,65,90,madart
José Isidro Vázquez Estupiñan,Pedregal e San Angel,Óleo sobre Tela,2020,23200,60,80,madart
José Isidro Vázquez Estupiñan,Tepoztlán,Óleo sobre Tela,2020,14000,20,25,madart
Giselle Fenig,Siendo Yo,Mixta sobre Tela,2020,60300,120,150,madart
Leonardo Salinas,Y Al Fin Libre,Mixta sobre Tela,2020,62600,100,200,madart
Leonardo Salinas,Caballos Marinos en Eclipse,Mixta sobre Tela,2020,55600,120,150,madart
Federico Rivero,Mujer con Rebozo,Bronce,2020,150800,110,50,madart
Fernando Andriacci,ST,Óleo sobre Tela,2020,580000,150,300,madart
Fernando Andriacci,Caballito,Piroxilina,2020,266800,112,142,madart
Fernando Andriacci,ST,Óleo sobre Tela,2020,1392000,200,600,madart
Fernando Andriacci,La Puesta del Sol,Óleo sobre Tela,2020,1392000,200,600,madart
Fernando Andriacci,El Árbol de la Vida,Óleo sobre Tela,2020,696000,200,300,madart
Fernando Andriacci,ST,Óleo sobre Tela,2020,133400,100,80,madart
Fernando Andriacci,ST,Óleo sobre Tela,2020,75400,60,50,madart
Fernando Andriacci,ST,Óleo sobre Tela,2020,75400,60,50,madart
Fernando Andriacci,ST,Óleo sobre Tela,2020,75400,60,50,madart
Fernando Andriacci,ST,Mixta sobre Tela,2020,75400,60,50,madart
Jose Antonio Gurtubay,La Bisnieta de la Menina,Madera,2020,127600,98,47,madart
Arturo Mendoza Elfeo,Entramado,Mixta sobre Tela,2020,53300,102,92,madart
Emmanuel Serrano,La Cena,Fumage ,2020,2300,20,20,madart
Emmanuel Serrano,La Cena,Fumage ,2020,2700,22,28,madart
Emmanuel Serrano,Autorretrato 372 (Cerdo),Fumage ,2020,2300,20,20,madart
Emmanuel Serrano,Insecto Número 333,Fumage sobre Papel,2020,4000,50,35,madart
Emmanuel Serrano,Variación de Mariposa,Fumage sobre Papel,2020,4000,35,50,madart
Oswaldo Ramírez,El Mensajero,Mixta sobre Tela,2020,114000,103,159,madart
Oswaldo Ramírez,La Bahia de Boca Vieja,Mixta sobre Tela,2020,84000,100,120,madart
Oswaldo Ramírez,La Montaña del Buen Deseo,Mixta sobre Tela,2020,67200,80,120,madart
Oswaldo Ramírez,Afro,Mixta sobre Tela,2020,67200,80,120,madart
Oswaldo Ramírez,Farinelli,Mixta sobre Tela,2020,7500,39,27,madart
Margot Acosta,Luna de Rio Angelical,Acrílico sobre Tela,2020,38300,100,130,madart
Federico Rivero,Confundido,Bronce,2020,27800,27,15,madart
Federico Rivero,Abrazo,Bronce,2020,27800,34,12,madart
Federico Rivero,Mis Niñas 2,Bronce,2020,20900,34,13,madart
Federico Rivero,Flor de Loto,Bronce,2020,27800,34,16,madart
Federico Rivero,En Compañía,Bronce,2020,34800,34,20,madart
Federico Rivero,Te Pienso,Bronce,2020,34800,38,16,madart
Federico Rivero,Ay Ojón,Bronce,2020,27800,26,16,madart
Federico Rivero,Ventana,Bronce,2020,34800,30,19,madart
Federico Rivero,Bici 2,Bronce,2020,34800,30,30,madart
Ricardo Olivares,Caballo de Madera,Bronce,2020,44000,40,30,madart
