pais,categoria,tematica,tecnica,soporte,medidas,fecha,etiquetas,precio,obra,autor,link
Argentina,Pintura,Otros,Acrilico,Lienzo,185 x 148 cm,Artelista desde: 7 de Marzo de 2019,"#arquitectura, #industrial #arte argentino, #marina, #arte Latinoamericano, #arquitectura, #abstracto",83.172 MX$,Libre,Gisela Gaffoglio,https://www.artelista.com/obra/3228962163360874-libre.html
Argentina,Pintura,Otros,Acrilico,Lienzo,230 x 190 cm,Artelista desde: 10 de Diciembre de 2018,"#marina, #industrial #arte argentino, #arquitectura, #abstracto, #arquitectura, #arte Latinoamericano",Obra vendida,Live now,Gisela Gaffoglio,https://www.artelista.com/obra/6442370189443527-live-now.html
Argentina,Pintura,Otros,Acrilico,Lienzo,183 x 145 cm,Artelista desde: 8 de Noviembre de 2018,"#marina, #paisaje, #industrial, #arte Latinoamericano, #arquitectura, #arte argentino",83.172 MX$,Cualquier similitud,Gisela Gaffoglio,https://www.artelista.com/obra/5070535766029326-cualquier-similitud.html
Colombia,Pintura,Figura,Oleo,Lienzo,18 x 18 cm,Artelista desde: 24 de Octubre de 2018,"figurativo, del, realismo, rayismo, Caribe, impresionista",83.617 MX$,FACE 0051,LUIS EMILIO RENTERIA LERMA,https://www.artelista.com/obra/3206456747557185-face-0051.html
Espana,Pintura,Animales,Oleo,Lienzo,30 x 40 cm,Artelista desde: 29 de Enero de 2019,"toro enamorado de la luna, Alvaro Suarez Vertiz, Alvaro Suarez Vertiz, Alvaro Suarez Vertiz, pintores peruanos",Obra vendida,El toro enamorado de la luna,Alvaro Suarez Vertiz,https://www.artelista.com/obra/8072549183101337-el-toro-enamorado-de-la-luna.html
Italia,Pintura,Marina,Acrilico,Tela,70 x 50 cm,Artelista desde: 1 de Septiembre de 2018,"pittura, contemporanea, paesaggio, fantastico, surrealismo, originale",Obra vendida,Venezia San Marco,Giuseppe Sticchinain,https://www.artelista.com/obra/1560728378768032-venezia-san-marco.html
Mexico,Pintura,Otros,Acrilico,Lienzo,100 x 100 cm,Artelista desde: 20 de Octubre de 2018,"salinas de manaure, manaure, la guajira, colombia, trabajadores, sal",43.000 MX$,Salinas de Manaure,Ximena Girado Herazo,https://www.artelista.com/obra/9044217152397851-salinas-de-manaure.html
Espana,Pintura,Paisaje,Lienzo,Oleo,167 x 134 cm,Artelista desde: 20 de Mayo de 2018,"rio, agua, luz",180.026 MX$,DESEMBOCADURA,Alberto romero villalba,https://www.artelista.com/obra/8913323490608022-desembocadura.html
Espana,Pintura,Lienzo,Oleo,Figura,75 x 75 cm,Artelista desde: 9 de Octubre de 2018,"turquesa, mediterraneo, figura, acuatico, mar",94.014 MX$,Moixina,Josep Moncada Juaneda,https://www.artelista.com/obra/6225662031422956-moixina.html
Espana,Pintura,Lienzo,Oleo,Figura,110 x 110 cm,Artelista desde: 4 de Septiembre de 2018,"turquesa, mediterraneo, figura, acuatico, mar",200.028 MX$,love,Josep Moncada Juaneda,https://www.artelista.com/obra/5646753386630984-love.html
Espana,Pintura,Lienzo,Oleo,Figura,110 x 110 cm,Artelista desde: 4 de Septiembre de 2018,"acuatico, mar, figurativo, mujer",200.028 MX$,Coeur vole,Josep Moncada Juaneda,https://www.artelista.com/obra/3772002255665486-coeur-vole.html
Espana,Pintura,Lienzo,Oleo,Figura,110 x 110 cm,Artelista desde: 9 de Octubre de 2018,"mar, turquesa, mediterraneo, figura, acuatico",200.028 MX$,Vinjolita,Josep Moncada Juaneda,https://www.artelista.com/obra/7268656353307827-vinjolita.html
Argentina,Pintura,Paisaje,Lienzo,Acrilico,191 x 165 cm,Artelista desde: 3 de Julio de 2018,"#abstracto, #arte Latinoamericano, #arte CONTEMPORANEO, #arte argentino, #industrial, #arquitectura",89.973 MX$,Crecimiento demografico,Gisela Gaffoglio,https://www.artelista.com/obra/5059119662124874-crecimiento-demografico.html
Espana,Pintura,Lienzo,Oleo,Figura,110 x 110 cm,Artelista desde: 4 de Septiembre de 2018,"turquesa, mediterraneo, figura, acuatico, mar",200.028 MX$,Caramuixa,Josep Moncada Juaneda,https://www.artelista.com/obra/3237021182930195-caramuixa.html
Argentina,Pintura,Paisaje,Acrilico,Lienzo,70 x 50 cm,Artelista desde: 25 de Julio de 2018,"#industrial, #arte argentino, #arte Latinoamericano, #arquitectura, #marina, puerto",Obra vendida,Ahora,Gisela Gaffoglio,https://www.artelista.com/obra/7551339815859703-ahora.html
