,precio estimado,precio_venta,fecha,autor,casa subasta,tipo,tecnica,dimensiones
0,"
800 - 1,200 USD ","
600 USD*
","
Sep 16, 2022
", Cesar Villacres,Weschler's,Capital Collections Auction,"
                                            Oil on canvas
                                        ","
                                                : 24 x 60 in (61 x 152.4 cm)  
                                            "
1,"
1,000 - 1,500 USD ","
550 USD*
","
Sep 16, 2022
", Cesar Villacres,Weschler's,Capital Collections Auction,"
                                            Oil on canvas
                                        ","
                                                : 18 x 22 in (45.7 x 55.9 cm)  
                                            "
2,"
400 - 600 USD ","
2,006 USD
","
Aug 27, 2022
", David Alfaro Siqueiros,Vogt Auction Galleries,Mid-Century Madness,"
                                            oil on canvas
                                        ","
                                                sight: 49 x 56, frame: 51 x 57""  
                                            "
3,"
450,000 - 550,000 MXN ","
430,000 MXN*
","
Aug 25, 2022
", Angel Zárraga,"Morton Auctions, Monte Athos",MODERN AND CONTEMPORARY ART,"
                                            Oil on canvas
                                        ","
                                                35.5 x 37.7 cm
                                            "
4,"
40,000 - 60,000 USD ","
32,000 USD*
","
Jul 20, 2022 - Aug 10, 2022
", Joaquín Torres García,Castells,"Online: T.T.G ERNESTO LEBORGNE COLLECTION, OTHERS","
                                            Oil on cardboard
                                        ","
                                                43 x 35 cm
                                            "
5,"
40,000 - 50,000 USD ","
30,000 USD*
","
Jul 20, 2022 - Aug 10, 2022
", Joaquín Torres García,Castells,"Online: T.T.G ERNESTO LEBORGNE COLLECTION, OTHERS","
                                            Oil on canvas
                                        ","
                                                44 x 33 cm
                                            "
6,"
35,000 - 45,000 USD ","
35,000 USD*
","
Jul 20, 2022 - Aug 10, 2022
", Joaquín Torres García,Castells,"Online: T.T.G ERNESTO LEBORGNE COLLECTION, OTHERS","
                                            Oil on cardboard
                                        ","
                                                38 x 50 cm
                                            "
7,"
30,000 - 40,000 USD ","
26,000 USD*
","
Jul 20, 2022 - Aug 10, 2022
", Joaquín Torres García,Castells,"Online: T.T.G ERNESTO LEBORGNE COLLECTION, OTHERS","
                                            oil on cardboard
                                        ","
                                                87 x 103 cm
                                            "
8,"
40,000 - 50,000 USD ","
42,000 USD*
","
Jul 20, 2022 - Aug 10, 2022
", Joaquín Torres García,Castells,"Online: T.T.G ERNESTO LEBORGNE COLLECTION, OTHERS","
                                            oil on canvas
                                        ","
                                                81 x 65 cm
                                            "
9,"
25,000 - 35,000 USD ","
20,000 USD*
","
Jul 20, 2022 - Aug 10, 2022
", Joaquín Torres García,Castells,"Online: T.T.G ERNESTO LEBORGNE COLLECTION, OTHERS","
                                            oil on canvas
                                        ","
                                                73 x 40 cm
                                            "
10,"
800 - 1,200 USD ","
2,451 USD
","
Jul 28, 2022
", Cesar Villacres,Doyle New York,Doyle at Home®,"
                                            Oil on canvas
                                        ","
                                                20 1/4 x 24 inches (51.4 x 61 cm)( 15 x 18...
                                            "
11,"
100 - 150 USD ","
50 USD*
","
Jun 29, 2022
", Joaquín Torres García,Kodner Galleries,"Estate Jewelry, Art & Collectibles","
                                            Paint on Burlap
                                        ","
                                                27"" x 34-1/2""  
                                            "
12,"
15,000 - 20,000 CAD ","
8,500 CAD*
","
Jun 28, 2022
", Diego Rivera,Champagne Auctions,Art & Prestige,"
                                            Oil on leather
                                        ","
                                                6 1/4"" x 4 1/2""  
15.9 x 11.4 cm  
6 1/4"" x 4...
                                            "
13,"
80,000 - 120,000 EUR ","
102,400 EUR*
","
Jun 24, 2022
", Jesus-Rafael Soto,Ader,POST-WAR AND CONTEMPORARY ART,"
                                            Acrylic on panel, nylon and aluminum
                                        ","
                                                79 x 32 cm 
                                            "
14,"
1,500 - 2,000 CHF ","
1,400 CHF*
","
Jun 21, 2022
", Antonio Seguí,Germann Auctions,"Paintings, Sculptures, Watercolors, Drawings and Multiples (A - Z)","
                                            Oil on cardboard
                                        ","
                                                H 280 mm W 430 mm. 
                                            "
15,"
1,200 - 1,800 CHF ","
1,000 CHF*
","
Jun 21, 2022
", Antonio Seguí,Germann Auctions,"Paintings, Sculptures, Watercolors, Drawings and Multiples (A - Z)","
                                            Oil on cardboard
                                        ","
                                                H 480 mm W 280 mm. 
                                            "
16,"
60,000 - 80,000 USD ","
46,000 USD*
","
May 14, 2022 - Jun 15, 2022
", Joaquín Torres García,Castells,Online: Jorge Rossetto Collection,"
                                            Oil on cardboard
                                        ","
                                                26 x 27 cm
                                            "
