,precio estimado,precio_venta,fecha,autor,casa subasta,tipo,tecnica,dimensiones
17,"
40,000 - 60,000 USD ","
27,000 USD*
","
May 14, 2022 - Jun 15, 2022
", Joaquín Torres García,Castells,Online: Jorge Rossetto Collection,"
                                            Oil on cardboard
                                        ","
                                                38 x 57 cm
                                            "
18,"
10,000 - 15,000 EUR ","
11,000 EUR*
","
Jun 14, 2022
", Angel Zárraga,Gros & Delettrez,Modern & Contemporary Art,"
                                            Oil on canvas
                                        ","
                                                46 cm x 38 cm 
                                            "
19,"
200 - 400 USD ","
800 USD*
","
Jun 11, 2022
", David Alfaro Siqueiros,Vogt Auction Galleries,Decorative Art Auction,"
                                            oil on canvas
                                        ","
                                                19.5 x 15.5"" 27 x 23.5""
                                            "
20,"
800 - 1,200 USD ","
1,000 USD
","
Jun 10, 2022
", David Alfaro Siqueiros,"Hindman, Chicago",Fine Art & Design Selections,"
                                            oil on panel
                                        ","
                                                12 x 9 1/2 inches
                                            "
21,"
15,000 - 20,000 EUR ","
27,720 EUR
","
Jun 01, 2022 - Jun 10, 2022
", Antonio Seguí,Sotheby's Paris,Art Contemporain Day Auction,"
                                            oil on canvas
                                        ","
                                                100 x 81 cm  
39 3/8 x 31 7/8 in.  
100 x 81...
                                            "
22,"
30,000 - 50,000 EUR ","
44,100 EUR
","
Jun 01, 2022 - Jun 10, 2022
", Antonio Seguí,Sotheby's Paris,Art Contemporain Day Auction,"
                                            oil on canvas
                                        ","
                                                200 x 200 cm  
78 3/4 x 78 3/4 in.  
200 x 200...
                                            "
23,"
18,000 - 25,000 EUR ","
53,232 EUR
","
Jun 09, 2022
", Antonio Seguí,Artcurial,Post-War & Contemporary Art,"
                                            Mixed media
                                        ","
                                                h: 114 w: 146 cm 
90""
1990""
                                            "
24,"
3,500 - 4,500 MXN ","
3,200 MXN*
","
Jun 04, 2022
", Diego Rivera,"Morton Auctions, Cerro de Mayka",Opportunities 1141 | Face-to-face,"
                                            Oil on canvas
                                        ","
                                                60 x 45 cm
                                            "
25,"
180,000 - 250,000 MXN ","
160,000 MXN*
","
Jun 02, 2022
", Juan Soriano,"Morton Auctions, Cerro de Mayka",LATIN AMERICAN ART AUCTION,"
                                            Oil on canvas
                                        ","
                                                35 x 20 x 20 cm
                                            "
26,"
8,000,000 - 10,000,000 MXN ","
7,500,000 MXN*
","
Jun 02, 2022
", Rufino Tamayo,"Morton Auctions, Cerro de Mayka",LATIN AMERICAN ART AUCTION,"
                                            Oil and gouache on canvas
                                        ","
                                                60.3 x 45.1 cm
                                            "
27,"
750,000 - 1,000 MXN ","
700,000 MXN*
","
Jun 02, 2022
", Juan Soriano,"Morton Auctions, Cerro de Mayka",LATIN AMERICAN ART AUCTION,"
                                            Oil on canvas
                                        ","
                                                132 x 76 cm
                                            "
28,"
400,000 MXN ","
460,000 MXN*
","
Jun 02, 2022
", Francisco Toledo,"Morton Auctions, Cerro de Mayka",LATIN AMERICAN ART AUCTION,"
                                            Oil on cardboard
                                        ","
                                                33 x 24 cm
                                            "
29,"
4,000,000 MXN ","
7,000,000 MXN*
","
Jun 02, 2022
", Angel Zárraga,"Morton Auctions, Cerro de Mayka",LATIN AMERICAN ART AUCTION,"
                                            Oil on canvas
                                        ","
                                                155.7 x 110 cm
                                            "
30,"
15,000 - 25,000 USD ","
8,000 USD*
","
May 27, 2022
", Emilio Pettoruti,Trinity International Auctions,May 2022 Catalog,"
                                            oil on canvas
                                        ","
                                                16 x 24 in  
6 x 61 cm 
24 x 34 in  
61 x 86.3 cm 
                                            "
31,"
2,000 - 3,000 EUR ","
1,400 EUR*
","
May 24, 2022
", René Portocarrero,Setdart,Contemporary and Actual Art,"
                                            Oil on cardboard
                                        ","
                                                76 x 56 cm 103 x 82 cm
                                            "
32,"
5,000 - 7,000 EUR ","
22,000 EUR*
","
May 24, 2022
", René Portocarrero,"Il Ponte Auction House, Via Pontaccio",Modern and Contemporary Art,"
                                            oil on canvas
                                        ","
                                                cm 50x39.5

                                            "
33,"
150,000 - 200,000 USD ","
315,000 USD
","
May 20, 2022
", Tomás Sánchez,Sotheby's New York,Contemporary Day Auction,"
                                            acrylic on canvas
                                        ","
                                                58½ by 41 in.  148.6 by 104.1 cm.
                                            "
34,"
40,000 - 60,000 USD ","
44,100 USD
","
May 20, 2022
", Fernando de Szyszlo,Sotheby's New York,Contemporary Day Auction,"
                                            acrylic on canvas
                                        ","
                                                55⅛ by 59 in.  140 by 150 cm.
                                            "
35,"
200,000 - 300,000 USD ","
415,800 USD
","
May 20, 2022
", Tomás Sánchez,Sotheby's New York,Contemporary Day Auction,"
                                            acrylic on canvas
                                        ","
                                                47⅞ by 35¾ in.  121.6 by 90.8 cm.
                                            "
36,"
20,000 - 30,000 USD ","
35,280 USD
","
May 20, 2022
", Antonio Seguí,Sotheby's New York,Contemporary Day Auction,"
                                            acrylic and charcoal on canvas
                                        ","
                                                32 by 39¼ in.  81.3 by 99.7 cm.
                                            "
37,"
20,000 - 30,000 USD ","
48,255 USD
","
May 19, 2022
", Mariano Rodriguez,Bonhams New York,Post-War & Contemporary Art,"
                                            oil on canvas
                                        ","
                                                59  by 50 1/4 in. 151.1 by 127.6 cm.
                                            "
38,"
10,000 - 15,000 USD ","
11,250 USD
","
May 19, 2022
", Antonio Seguí,"Heritage Auctions, Dallas",Modern & Contemporary Art,"
                                            Pastel and charcoal on canvas
                                        ","
                                                148.6 x 148.6 cm
                                            "
39,"
30,000 - 40,000 USD ","
37,800 USD
","
May 18, 2022
", Emilio Pettoruti,Sotheby's New York,Modern Day Auction,"
                                            oil on canvas
                                        ","
                                                10 by 13¼ in.  
25.4 by 33.7 cm.  
                                            "
40,"
80,000 - 120,000 USD ","
88,200 USD
","
May 18, 2022
", Juan Soriano,Sotheby's New York,Modern Day Auction,"
                                            mixed media on Masonite
                                        ","
                                                59 3/4 by 48 in.  
152 by 122 cm.  
                                            "
41,"
350,000 - 450,000 USD ","
693,000 USD
","
May 18, 2022
", Rufino Tamayo,Sotheby's New York,Modern Day Auction,"
                                            oil and sand on canvas
                                        ","
                                                43¾ by 57½ in.  
111.1 by 146.1 cm.  
                                            "
42,"
100,000 - 200,000 USD ","
81,900 USD
","
May 18, 2022
", Emilio Pettoruti,Sotheby's New York,Modern Day Auction,"
                                            oil on aluminum
                                        ","
                                                15⅛ by 21¾ in.  
38 by 55 cm.  
                                            "
43,"
150,000 - 250,000 USD ","
163,800 USD
","
May 18, 2022
", Alfredo Ramos Martínez,Sotheby's New York,Modern Day Auction,"
                                            pastel, tempera, colored pencil and charcoal on board
                                        ","
                                                55½ by 43¾ in.  138.7 by 109.4 cm.
                                            "
44,"
15,000 - 20,000 USD ","
24,225 USD
","
May 18, 2022
", René Portocarrero,Bonhams New York,Impressionist & Modern Art,"
                                            oil on canvas
                                        ","
                                                21  x 14 in  
54.7 x 35.6 cm 
                                            "
45,"
600,000 - 800,000 USD ","
730,800 USD
","
May 18, 2022
", Rufino Tamayo,Sotheby's New York,Modern Day Auction,"
                                            oil and sand on canvas
                                        ","
                                                31⅞ by 39½ in.  
81 by 100.3 cm.  
                                            "
46,"
200,000 - 300,000 USD ","
189,000 USD
","
May 18, 2022
", David Alfaro Siqueiros,Sotheby's New York,Modern Day Auction,"
                                            pyroxylin on panel
                                        ","
                                                48 by 45¼ in.  121.9 by 114.9 cm.
                                            "
47,"
80,000 - 120,000 USD ","
94,500 USD
","
May 18, 2022
", Diego Rivera,Sotheby's New York,Modern Day Auction,"
                                            oil on canvas
                                        ","
                                                18¼ by 15⅛ in.  
46.4 by 38.4 cm.  
                                            "
48,"
6,000 - 8,000 EUR ","
15,500 EUR*
","
May 18, 2022
", Antonio Seguí,Blanchet & Associés,SALE MODERN PAINTING,"
                                            Mixed media on canvas
                                        ","
                                                51 x 71 cm
                                            "
49,"
250,000 - 350,000 USD ","
378,000 USD
","
May 18, 2022
", Joaquín Torres García,Sotheby's New York,Modern Day Auction,"
                                            oil on board
                                        ","
                                                20⅛ by 25⅞ in.  
51.1 by 65.7 cm.  
                                            "
50,"
70,000 - 90,000 USD ","
75,600 USD
","
May 18, 2022
", David Alfaro Siqueiros,Sotheby's New York,Modern Day Auction,"
                                            pyroxylin on panel
                                        ","
                                                32½ by 24 in.  82.6 by 60.3 cm.
                                            "
51,"
400,000 - 600,000 USD ","
340,200 USD
","
May 18, 2022
", Francisco Toledo,Sotheby's New York,Modern Day Auction,"
                                            oil on canvas
                                        ","
                                                40⅞ by 103½ in.  
103.8 by 263 cm.  
                                            "
52,"
40,000 - 60,000 USD ","
40,320 USD
","
May 18, 2022
", Joaquín Torres García,Sotheby's New York,Modern Day Auction,"
                                            oil on canvas
                                        ","
                                                19⅝ by 16 in.  
49.8 by 40.6 cm.  
                                            "
53,"
800,000 - 1,200,000 USD ","
1,260,000 USD
","
May 14, 2022
", Joaquín Torres García,Christie's New York,Impressionist and Modern Works on Paper and Day Sale,"
                                            tempera on board
                                        ","
                                                29 1⁄2 x 20 3⁄4 in.  
75 x 52.8 cm. 
                                            "
54,"
800 - 1,200 USD ","
650 USD*
","
May 13, 2022
", Cesar Villacres,Weschler's,Capital Collections Auction,"
                                            Oil on canvas
                                        ","
                                                20 x 24 in  
50.8 x 61 cm 
38 l
                                            "
55,"
30,000 - 50,000 USD ","
30,000 USD
","
May 12, 2022
", Fernando de Szyszlo,Swann Auction Galleries,Contemporary Art,"
                                            Oil on canvas
                                        ","
                                                1270x1270 mm 
50x50 inches 
                                            "
56,"
200 - 400 EUR ","
15,000 EUR*
","
May 12, 2022
", René Portocarrero,Galleria Pananti,Modern and Contemporary art,"
                                            Oil on paper
                                        ","
                                                cm. 50x80
                                            "
57,"
30,000 SEK ","
36,000 SEK*
","
May 10, 2022 - May 11, 2022
", Francisco Toledo,Stockholms Auction House,Modern & Contemporary,"
                                            mixed media
                                        ","
                                                30 x 46 cm.
                                            "
58,"
12,000 - 18,000 USD ","
7,000 USD*
","
Apr 09, 2022
", René Portocarrero,Neal Auction Company,"Spring Estates April 8 & 9, 2022 Day 2 - Lots 198-560","
                                            photographs
                                        ","
                                                sight 21 in. x 16 1/2 in. 
                                            "
59,"
150,000 - 250,000 MXN ","
140,000 MXN*
","
Apr 07, 2022
", Alfredo Ramos Martínez,"Morton Auctions, Monte Athos",Modern and Contemporary Art,"
                                            Oil on canvas
                                        ","
                                                60 x 50 cm
                                            "
60,"
1,500 - 3,000 EUR ","
3,864 EUR
","
Apr 01, 2022
", Francisco Toledo,Thierry de Maigret,Modern and contemporary paintings - Art nouveau - Art Deco,"
                                            Gouache
                                        ","
                                                35 x 23 cm
 
                                            "
61,"
12,000 - 15,000 EUR ","
20,992 EUR
","
Mar 30, 2022
", Antonio Seguí,Artcurial,"Contemporary
Art","
                                            Acrylic on canvas
                                        ","
                                                h: 73 w: 92 cm 
2007""
                                            "
62,"
15,000 - 25,000 EUR ","
19,680 EUR
","
Mar 30, 2022
", Antonio Seguí,Artcurial,"Contemporary
Art","
                                            Acrylic on canvas
                                        ","
                                                h: 81 w: 100 cm 
2010""
                                            "
63,"
50,000 - 70,000 USD ","
35,000 USD*
","
Mar 25, 2022
", Francisco Zuñiga,Clars Auction Gallery,March 25th Modern + Contemporary Art + Design,"
                                            oil on canvas
                                        ","
                                                41""h x 25.25""w d
46""h x 30""w d
                                            "
64,"
30,000 - 40,000 USD ","
44,100 USD
","
Mar 11, 2022
", Fernando de Szyszlo,Sotheby's New York,Contemporary Curated,"
                                            acrylic on canvas
                                        ","
                                                58 ½ by 46 ½ in.  
148.6 by 118.1 cm.  
                                            "
65,"
750,000 - 950,000 USD ","
1,800,000 USD
","
Mar 11, 2022
", Tomás Sánchez,Christie's New York,Latin American Art,"
                                            oil on canvas
                                        ","
                                                78 3⁄4 x 99 3⁄8 in.  
200 x 252.3 cm. 
                                            "
66,"
70,000 - 90,000 USD ","
75,600 USD
","
Mar 11, 2022
", David Alfaro Siqueiros,Christie's New York,Latin American Art,"
                                            acrylic on Masonite
                                        ","
                                                33 1⁄2 x 27 5⁄8 in.  
85.1 x 70.2 cm. 
                                            "
67,"
50,000 - 70,000 USD ","
81,900 USD
","
Mar 11, 2022
", Rufino Tamayo,Christie's New York,Latin American Art,"
                                            oil on canvas
                                        ","
                                                13 3⁄4 x 7 7⁄8 in.  
35 x 20 cm. 
                                            "
68,"
70,000 - 90,000 USD ","
75,600 USD
","
Mar 11, 2022
", Antonio Seguí,Sotheby's New York,Contemporary Curated,"
                                            acrylic, pastel and fabric collage on canvas
                                        ","
                                                59 by 58¾ in.  150 by 149 cm.
                                            "
69,"
700,000 - 900,000 USD ","
4,140,000 USD
","
Mar 11, 2022
", Diego Rivera,Christie's New York,Latin American Art,"
                                            oil on canvas
                                        ","
                                                31 1⁄4 x 39 in.  79.4 x 99.1 cm.
                                            "
70,"
600,000 - 800,000 USD ","
882,000 USD
","
Mar 11, 2022
", Rufino Tamayo,Christie's New York,Latin American Art,"
                                            oil and sand on canvas
                                        ","
                                                37 1⁄2 x 50 7⁄8 in.  
95.3 x 128.9 cm. 
                                            "
71,"
100,000 - 150,000 USD ","
94,500 USD
","
Mar 11, 2022
", Alfredo Ramos Martínez,Christie's New York,Latin American Art,"
                                            oil on board laid on board
                                        ","
                                                26 3⁄8 x 32 in.  
67 x 81.3 cm. 
                                            "
72,"
120,000 - 180,000 USD ","
277,200 USD
","
Mar 11, 2022
", Diego Rivera,Christie's New York,Latin American Art,"
                                            oil on masonite
                                        ","
                                                9 x 11 1⁄2 in.  
22.9 x 29.2 cm. 
                                            "
73,"
70,000 - 90,000 USD ","
75,600 USD
","
Mar 11, 2022
", Fernando de Szyszlo,Christie's New York,Latin American Art,"
                                            acrylic on canvas
                                        ","
                                                58 1⁄4 x 46 3⁄4 in.  
148 x 118.8 cm. 
                                            "
74,"
650,000 - 1,300,000 MXN ","
600,000 MXN*
","
Feb 24, 2022
", Francisco Toledo,"Morton Auctions, Monte Athos",Modern and Contemporary Art Auction,"
                                            Oil and sand on canvas
                                        ","
                                                110 x 80 cm
                                            "
75,"
8,000 EUR ","
8,000 EUR*
","
Feb 23, 2022 - Feb 24, 2022
", René Portocarrero,Duran Art & Auctions,Auction 602,"
                                            Oil on canvas
                                        ","
                                                61 x 50 cm
                                            "
76,"
1,000 - 10,000 USD ","
8,500 USD*
","
Feb 23, 2022
", Fernando de Szyszlo,Hill Auction Gallery,Euphoria,"
                                            oil painting on canvas
                                        ","
                                                30.75 x 30.5 in.

                                            "
77,"
20,000 - 25,000 USD ","
18,750 USD
","
Feb 04, 2022 - Feb 18, 2022
", Alfredo Ramos Martínez,Christie's Online,Latin American Art Online,"
                                            Conté crayon and pastel on newsprint laid on board
                                        ","
                                                23 x 17 1 ⁄ 2 in.  58.4 x 44.5 cm. 28 1 ⁄ 2 x...
                                            "
78,"
30,000 - 40,000 USD ","
25,000 USD
","
Feb 04, 2022 - Feb 18, 2022
", René Portocarrero,Christie's Online,Latin American Art Online,"
                                            oil on canvas
                                        ","
                                                24 x 19 3 ⁄ 4 in.  
61 x 50.2 cm. 
                                            "
79,"
25,000 - 35,000 USD ","
47,500 USD
","
Feb 04, 2022 - Feb 18, 2022
", Antonio Seguí,Christie's Online,Latin American Art Online,"
                                            acrylic and newspaper collage on canvas
                                        ","
                                                59 x 70 in.  
149.9 x 177.8 cm. 
                                            "
80,"
35,000 - 45,000 USD ","
50,000 USD
","
Feb 04, 2022 - Feb 18, 2022
", David Alfaro Siqueiros,Christie's Online,Latin American Art Online,"
                                            Pyroxyline on paper laid on masonite
                                        ","
                                                25 1 ⁄ 2 x 19 3 ⁄ 8 in.  64.8 x 49.1 cm.
                                            "
81,"
35,000 - 45,000 USD ","
40,000 USD
","
Feb 04, 2022 - Feb 18, 2022
", Fernando de Szyszlo,Christie's Online,Latin American Art Online,"
                                            oil on canvas
                                        ","
                                                31 3 ⁄ 4 x 39 1 ⁄ 4 in.  
80.6 x 99.7 cm. 
                                            "
82,"
800 - 1,200 USD ","
2,800 USD
","
Jan 27, 2022
", Cesar Villacres,Stair Galleries,European and American Fine Art,"
                                            Oil on canvas
                                        ","
                                                25 1/4 x 30 in. 
33 1/2 x 38 1/2 in.  
                                            "
83,"
1,500 - 2,000 EUR ","
1,200 EUR
","
Dec 19, 2021
", Antonio Seguí,Goxe Belaïsch,GILLES OUAKI - 50 YEARS OF COLLECTION OF CONTEMPORARY ART AND DESIGN,"
                                            cardboard portfolio containing twenty photolithographs
                                        ","
                                                65 x 50 cm
                                            "
84,"
6,000 - 8,000 USD ","
11,970 USD
","
Dec 09, 2021 - Dec 17, 2021
", Antonio Seguí,Sotheby's New York,Contemporary Art | New York,"
                                            oil on canvas
                                        ","
                                                21 5/8 by 18 in.  54.9 by 45.7 cm.
                                            "
85,"
6,000 - 8,000 USD ","
10,080 USD
","
Dec 09, 2021 - Dec 17, 2021
", Antonio Seguí,Sotheby's New York,Contemporary Art | New York,"
                                            oil on canvas
                                        ","
                                                18 1/4 by 21 1/2 in.  46.4 by 54.6 cm.
                                            "
86,"
30,000 - 40,000 USD ","
32,760 USD
","
Dec 09, 2021 - Dec 17, 2021
", Fernando de Szyszlo,Sotheby's New York,Contemporary Art | New York,"
                                            oil on canvas
                                        ","
                                                45 1/4 by 45 1/4 in.  114.9 by 114.9 cm.
                                            "
87,"
1,000 - 1,500 USD ","
11,970 USD
","
Dec 09, 2021 - Dec 17, 2021
", Graciela Rodo-Boulanger,Sotheby's New York,Contemporary Art | New York,"
                                            oil on canvas
                                        ","
                                                51 by 63 3/4 in.  129.5 by 161.1 cm.
                                            "
88,"
12,000 - 18,000 USD ","
20,800 USD
","
Dec 15, 2021
", Elmar Rojas,Rago Arts and Auction Center,20|21 Art,"
                                            oil and acrylic on canvas
                                        ","
                                                70½ h × 58½ w in
179 × 149 cm 
                                            "
89,"
12,000 - 18,000 USD ","
22,100 USD
","
Dec 15, 2021
", Elmar Rojas,Rago Arts and Auction Center,20|21 Art,"
                                            oil and acrylic on canvas
                                        ","
                                                67 h × 58¼ w in
170 × 148 cm 
                                            "
90,"
20,000 - 30,000 USD ","
69,300 USD
","
Dec 03, 2021 - Dec 13, 2021
", René Portocarrero,Sotheby's New York,Modern Art | New York,"
                                            oil on canvas
                                        ","
                                                35 by 22 in.  
88.9 by 55.9 cm.  
                                            "
91,"
30,000 - 50,000 EUR ","
93,000 EUR
","
Dec 11, 2021
", Jesus-Rafael Soto,Native Auction House,"TRIBAL ART, MODERN ART AND 20TH CENTURY FURNITURE","
                                            Acrylic paint on panel, and painted metal rods
                                        ","
                                                62 x 62 x 6,5 cm
                                            "
92,"
6,000 - 8,000 USD ","
3,500 USD*
","
Nov 24, 2021 - Dec 08, 2021
", Antonio Seguí,Castells,Online: Modern and Contemporary Art,"
                                            Oil and pastel on linen
                                        ","
                                                48 x 31 cm
                                            "
93,"
600 - 1,000 USD ","
649 USD
","
Dec 04, 2021
", Cesar Villacres,Vogt Auction Galleries,Holiday Luxury Estates,"
                                            oil on canvas
                                        ","
                                                12 x 16"" 21.5 x 25.5""
                                            "
94,"
1,200 - 1,800 USD ","
2,000 USD*
","
Dec 01, 2021
", René Portocarrero,Millea Bros.,SELECT: 3 Day Auction,"
                                            plexiglass
                                        ","
                                                17""h x 10.5""w (sight)
                                            "
95,"
750 - 1,500 USD ","
475 USD*
","
Nov 30, 2021
", Rufino Tamayo,Lion and Unicorn,Fall Art & Antiques Auction,"
                                            Acrylic on Paper
                                        ","
                                                25-1/2""W x 37-3/4""H
                                            "
96,"
2,000 - 3,000 CHF ","
4,400 CHF*
","
Nov 23, 2021
", Antonio Seguí,Germann Auctions,"Paintings, Sculptures, Watercolors, Drawings and Multiples","
                                            Oil on canvas
                                        ","
                                                H 700 mm W 500 mm. 
                                            "
97,"
2,000 - 3,000 CHF ","
2,800 CHF*
","
Nov 23, 2021
", Antonio Seguí,Germann Auctions,"Paintings, Sculptures, Watercolors, Drawings and Multiples","
                                            Oil on paper on canvas
                                        ","
                                                H 550 mm W 460 mm. 
                                            "
98,"
22,000 - 25,000 EUR ","
21,000 EUR*
","
Nov 20, 2021
", Antonio Seguí,Louiza Auction,"XIXth, MODERN & CONTEMPORARY PAINTINGS AND SCULPTURES STREET ART, GRAFFITI, MULTIPLE ","
                                            Acrylic on canvas
                                        ","
                                                92 x 73 cm
                                            "
99,"
150,000 - 200,000 USD ","
315,000 USD
","
Nov 19, 2021
", Tomás Sánchez,Sotheby's New York,Contemporary Day Auction,"
                                            acrylic on canvas
                                        ","
                                                36 1/8 by 24 in.  
91.8 by 61 cm.  
                                            "
100,"
60,000 - 80,000 USD ","
75,600 USD
","
Nov 19, 2021
", Antonio Seguí,Sotheby's New York,Contemporary Day Auction,"
                                            acrylic on canvas
                                        ","
                                                78 3/4 by 78 3/4 in.  
200 by 200 cm.  
                                            "
101,"
300,000 - 400,000 USD ","
472,500 USD
","
Nov 19, 2021
", Jesus-Rafael Soto,Sotheby's New York,Contemporary Day Auction,"
                                            oil on canvas
                                        ","
                                                25¼ by 31¾ in.  
64.1 by 80.6 cm.  
                                            "
102,"
30,000 - 40,000 USD ","
56,700 USD
","
Nov 19, 2021
", Antonio Seguí,Sotheby's New York,Contemporary Day Auction,"
                                            acrylic on canvas
                                        ","
                                                63⅛ by 59⅛ in.  
160 by 149.9 cm.  
                                            "
103,"
280,000 - 350,000 USD ","
378,000 USD
","
Nov 19, 2021
", Tomás Sánchez,Sotheby's New York,Contemporary Day Auction,"
                                            acrylic on canvas
                                        ","
                                                36 by 48 in.  
91.4 by 121.9 cm.  
                                            "
104,"
600 - 800 USD ","
1,500 USD*
","
Nov 18, 2021
", Jose Antonio Velasquez,The Potomack Company,20th Century Artwork: From Latin America to Europe,"
                                            Oil on canvasboard
                                        ","
                                                18 1/2 x 26 in. 
                                            "
105,"
15,000 - 30,000 USD ","
13,000 USD*
","
Nov 18, 2021
", Fernando de Szyszlo,The Potomack Company,20th Century Artwork: From Latin America to Europe,"
                                            Oil on canvas
                                        ","
                                                50 x 50 in. 
                                            "
106,"
30,000 - 40,000 USD ","
30,240 USD
","
Nov 18, 2021
", Fernando de Szyszlo,Phillips New York,20th Century & Contemporary Art Day Sale - Morning Session,"
                                            oil on canvas
                                        ","
                                                46 5/8 x 46 5/8 in. 
                                            "
107,"
80,000 - 120,000 USD ","
81,900 USD
","
Nov 18, 2021
", Francisco Toledo,Phillips New York,20th Century & Contemporary Art Day Sale - Morning Session,"
                                            oil and sand on canvas
                                        ","
                                                31 x 38 5/8 in. 
                                            "
108,"
150,000 - 250,000 USD ","
350,000 USD
","
Nov 17, 2021
", Diego Rivera,"Heritage Auctions, Dallas",Modern & Contemporary Art Signature® Auction,"
                                            Oil on canvas
                                        ","
                                                53 x 42 1/2 inches 
                                            "
109,"
100,000 - 150,000 USD ","
126,000 USD
","
Nov 17, 2021
", David Alfaro Siqueiros,Sotheby's New York,Modern Day Auction,"
                                            painting
                                        ","
                                                33 1/2 by 27 3/4 in.  
85 by 70.5 cm.  
                                            "
110,"
150,000 - 250,000 USD ","
138,600 USD
","
Nov 17, 2021
", Rufino Tamayo,Sotheby's New York,Modern Day Auction,"
                                            oil and sand on canvas
                                        ","
                                                16 by 25 3/4 in.  
40.6 by 65.2 cm.  
                                            "
